"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.973668400E-2,-9.321057005E-4,7.989477599E-4,1.331579551E-4,1.234856105E-3
2.226256900E-2,-3.062632866E-3,-2.396843163E-3,1.198421582E-3,4.069495240E-3
2.478845400E-2,1.331579551E-4,1.864211401E-3,1.331579551E-4,1.873698543E-3
2.731434000E-2,1.198421582E-3,7.989477599E-4,-9.321057005E-4,1.715620251E-3
2.984027700E-2,1.331579551E-4,-1.331579522E-3,1.331579551E-4,1.344829397E-3
3.236616300E-2,1.198421582E-3,7.989477599E-4,-1.997369342E-3,2.462522304E-3
3.489204800E-2,1.198421582E-3,1.864211401E-3,-9.321057005E-4,2.404229496E-3
3.739684000E-2,1.198421582E-3,7.989477599E-4,1.331579551E-4,1.446465641E-3
3.992220400E-2,-9.321057005E-4,-1.331579522E-3,2.263685223E-3,2.786789524E-3
4.244756900E-2,1.198421582E-3,-1.331579522E-3,-9.321057005E-4,2.019440355E-3
4.497293400E-2,1.198421582E-3,7.989477599E-4,1.331579551E-4,1.446465641E-3
4.749829800E-2,-9.321057005E-4,-1.331579522E-3,1.331579551E-4,1.630845211E-3
5.002366300E-2,-1.997369342E-3,-1.331579522E-3,-9.321057005E-4,2.575152296E-3
5.254902700E-2,-9.321057005E-4,1.864211401E-3,-9.321057005E-4,2.283183353E-3
5.507439200E-2,1.198421582E-3,-2.396843163E-3,1.331579551E-4,2.683058419E-3
5.752939200E-2,-9.321057005E-4,-2.663159103E-4,2.263685223E-3,2.462522282E-3
5.998439200E-2,1.198421582E-3,7.989477599E-4,1.198421582E-3,1.873698508E-3
6.243939200E-2,1.198421582E-3,-2.663159103E-4,3.328948980E-3,3.548103686E-3
6.494996500E-2,1.331579551E-4,-1.331579522E-3,2.263685223E-3,2.629658885E-3
6.747006900E-2,1.198421582E-3,-1.331579522E-3,1.331579551E-4,1.796398996E-3
6.999022500E-2,1.331579551E-4,-1.331579522E-3,1.331579551E-4,1.344829397E-3
7.251032900E-2,1.331579551E-4,1.864211401E-3,1.331579551E-4,1.873698543E-3
7.503048600E-2,1.331579551E-4,1.864211401E-3,-4.127896391E-3,4.531285006E-3
7.757548600E-2,-1.997369342E-3,-1.331579522E-3,-9.321057005E-4,2.575152296E-3
8.012048600E-2,-1.997369342E-3,7.989477599E-4,-9.321057005E-4,2.344487758E-3
8.266548600E-2,1.198421582E-3,-1.331579522E-3,1.331579551E-4,1.796398996E-3
8.521048600E-2,1.198421582E-3,-2.663159103E-4,1.198421582E-3,1.715620220E-3
8.775548600E-2,-9.321057005E-4,7.989477599E-4,1.331579551E-4,1.234856105E-3
9.030048600E-2,1.331579551E-4,-2.396843163E-3,1.331579551E-4,2.404229447E-3
9.284548600E-2,2.263685223E-3,-1.331579522E-3,2.263685223E-3,3.467224481E-3
9.539048600E-2,1.198421582E-3,-2.663159103E-4,1.198421582E-3,1.715620220E-3
9.793548600E-2,-9.321057005E-4,-1.331579522E-3,1.331579551E-4,1.630845211E-3
1.004804860E-1,1.331579551E-4,-2.663159103E-4,1.331579551E-4,3.261690453E-4
1.030097570E-1,1.198421582E-3,-2.663159103E-4,-1.997369342E-3,2.344487735E-3
1.055330380E-1,-9.321057005E-4,7.989477599E-4,2.263685223E-3,2.575152296E-3
1.080563190E-1,1.198421582E-3,-2.663159103E-4,1.331579551E-4,1.234856061E-3
1.105796520E-1,1.331579551E-4,-2.663159103E-4,1.331579551E-4,3.261690453E-4
1.131029340E-1,-9.321057005E-4,7.989477599E-4,-9.321057005E-4,1.541414804E-3
1.156262150E-1,1.198421582E-3,-2.663159103E-4,-9.321057005E-4,1.541414768E-3
1.181517880E-1,-9.321057005E-4,-1.331579522E-3,1.198421582E-3,2.019440355E-3
1.206751210E-1,-9.321057005E-4,-1.331579522E-3,1.331579551E-4,1.630845211E-3
1.231984540E-1,-9.321057005E-4,7.989477599E-4,1.331579551E-4,1.234856105E-3
1.257218400E-1,-9.321057005E-4,-2.663159103E-4,1.331579551E-4,9.785071497E-4
1.282451730E-1,2.263685223E-3,-2.663159103E-4,1.198421582E-3,2.575152275E-3
1.307685070E-1,1.198421582E-3,7.989477599E-4,1.198421582E-3,1.873698508E-3
1.332918920E-1,2.263685223E-3,-2.663159103E-4,1.198421582E-3,2.575152275E-3
1.358152250E-1,2.263685223E-3,-2.663159103E-4,-9.321057005E-4,2.462522282E-3
1.382702250E-1,-9.321057005E-4,-2.663159103E-4,-1.997369342E-3,2.220186814E-3
1.407252250E-1,-1.997369342E-3,-2.663159103E-4,-9.321057005E-4,2.220186814E-3
1.431816320E-1,-1.997369342E-3,-2.663159103E-4,1.331579551E-4,2.019440391E-3
1.457001210E-1,-9.321057005E-4,7.989477599E-4,-1.997369342E-3,2.344487758E-3
1.482186630E-1,1.331579551E-4,2.929474926E-3,-9.321057005E-4,3.077072540E-3
1.507371520E-1,1.331579551E-4,2.929474926E-3,1.198421582E-3,3.167928135E-3
1.532556420E-1,1.198421582E-3,-2.663159103E-4,1.331579551E-4,1.234856061E-3
1.557742360E-1,3.328948980E-3,7.989477599E-4,1.331579551E-4,3.426069158E-3
1.583192360E-1,1.198421582E-3,7.989477599E-4,1.331579551E-4,1.446465641E-3
1.608642360E-1,-9.321057005E-4,7.989477599E-4,1.331579551E-4,1.234856105E-3
1.634092360E-1,-9.321057005E-4,-2.663159103E-4,1.198421582E-3,1.541414768E-3
1.659542360E-1,1.198421582E-3,-2.663159103E-4,1.331579551E-4,1.234856061E-3
1.684992360E-1,2.263685223E-3,-2.663159103E-4,1.198421582E-3,2.575152275E-3
1.710442360E-1,-9.321057005E-4,-1.331579522E-3,1.198421582E-3,2.019440355E-3
1.735892360E-1,-1.997369342E-3,-2.663159103E-4,1.331579551E-4,2.019440391E-3
1.761342360E-1,1.331579551E-4,-1.331579522E-3,-3.062632866E-3,3.342238043E-3
1.786792360E-1,1.331579551E-4,-2.663159103E-4,-1.997369342E-3,2.019440391E-3
1.812242360E-1,-9.321057005E-4,-1.331579522E-3,1.331579551E-4,1.630845211E-3
1.837619440E-1,1.331579551E-4,-2.663159103E-4,2.263685223E-3,2.283183302E-3
1.862839230E-1,-9.321057005E-4,2.929474926E-3,1.198421582E-3,3.299524006E-3
1.888059540E-1,1.331579551E-4,7.989477599E-4,-1.997369342E-3,2.155349821E-3
1.913279340E-1,1.198421582E-3,-1.331579522E-3,-1.997369342E-3,2.683058441E-3
1.938499650E-1,1.331579551E-4,1.864211401E-3,-1.997369342E-3,2.735415777E-3
1.963719440E-1,1.331579551E-4,1.864211401E-3,1.331579551E-4,1.873698543E-3
1.988269440E-1,1.331579551E-4,-1.331579522E-3,1.198421582E-3,1.796398996E-3
2.012819440E-1,1.198421582E-3,1.864211401E-3,2.263685223E-3,3.167928222E-3
2.037456420E-1,-9.321057005E-4,1.864211401E-3,-9.321057005E-4,2.283183353E-3
2.062630900E-1,1.331579551E-4,1.864211401E-3,-9.321057005E-4,2.088500952E-3
2.087805380E-1,1.198421582E-3,7.989477599E-4,1.331579551E-4,1.446465641E-3
2.112979340E-1,-4.127896391E-3,-2.663159103E-4,1.198421582E-3,4.306584153E-3
2.138153820E-1,-9.321057005E-4,1.864211401E-3,1.331579551E-4,2.088500952E-3
2.163328290E-1,-1.997369342E-3,1.864211401E-3,-9.321057005E-4,2.886795710E-3
2.188778290E-1,-1.997369342E-3,-1.331579522E-3,-9.321057005E-4,2.575152296E-3
2.214228290E-1,1.198421582E-3,7.989477599E-4,2.263685223E-3,2.683058441E-3
2.239678290E-1,1.331579551E-4,2.929474926E-3,2.263685223E-3,3.704568149E-3
2.265128290E-1,-9.321057005E-4,1.864211401E-3,1.331579551E-4,2.088500952E-3
2.290578290E-1,-1.997369342E-3,-2.663159103E-4,1.198421582E-3,2.344487735E-3
2.316028290E-1,1.198421582E-3,2.929474926E-3,2.263685223E-3,3.891311914E-3
2.341478290E-1,1.198421582E-3,2.929474926E-3,1.198421582E-3,3.384413083E-3
2.366928290E-1,1.198421582E-3,7.989477599E-4,1.198421582E-3,1.873698508E-3
2.392378290E-1,-9.321057005E-4,-2.663159103E-4,-9.321057005E-4,1.344829446E-3
2.417828290E-1,-9.321057005E-4,-2.663159103E-4,1.331579551E-4,9.785071497E-4
2.443263190E-1,1.331579551E-4,7.989477599E-4,1.198421582E-3,1.446465641E-3
2.468474650E-1,-1.997369342E-3,7.989477599E-4,1.331579551E-4,2.155349821E-3
2.493686110E-1,1.198421582E-3,7.989477599E-4,1.331579551E-4,1.446465641E-3
2.518897570E-1,1.331579551E-4,-2.663159103E-4,-1.997369342E-3,2.019440391E-3
2.544109020E-1,1.198421582E-3,-2.663159103E-4,1.198421582E-3,1.715620220E-3
2.569320480E-1,1.331579551E-4,-1.331579522E-3,2.263685223E-3,2.629658885E-3
2.593870480E-1,-9.321057005E-4,-2.663159103E-4,1.198421582E-3,1.541414768E-3
2.618420480E-1,-9.321057005E-4,-1.331579522E-3,1.331579551E-4,1.630845211E-3
