"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.424380600E-2,2.663159103E-4,-1.464737463E-3,1.198421582E-3,1.911176153E-3
3.676948300E-2,2.663159103E-4,-1.464737463E-3,1.331579551E-4,1.494694297E-3
3.929516000E-2,-7.989477599E-4,6.657897611E-4,1.198421582E-3,1.586760163E-3
4.182088900E-2,2.663159103E-4,-1.464737463E-3,1.198421582E-3,1.911176153E-3
4.434651400E-2,2.663159103E-4,-3.994738800E-4,1.331579551E-4,4.982314581E-4
4.687219100E-2,-7.989477599E-4,-3.994738800E-4,1.198421582E-3,1.494694347E-3
4.939792000E-2,2.396843163E-3,-3.994738800E-4,-9.321057005E-4,2.602548283E-3
5.190417000E-2,2.663159103E-4,-1.464737463E-3,-4.127896391E-3,4.388155491E-3
5.442943100E-2,1.331579522E-3,6.657897611E-4,-9.321057005E-4,1.756474044E-3
5.695458700E-2,1.331579522E-3,1.731053460E-3,1.198421582E-3,2.491157240E-3
5.947979500E-2,2.663159103E-4,-3.994738800E-4,1.198421582E-3,1.291014265E-3
6.200500400E-2,2.663159103E-4,1.731053460E-3,1.331579551E-4,1.756474107E-3
6.453016000E-2,2.663159103E-4,-3.994738800E-4,1.331579551E-4,4.982314581E-4
6.705542000E-2,2.663159103E-4,-3.994738800E-4,2.263685223E-3,2.314038533E-3
6.958057700E-2,-7.989477599E-4,1.731053460E-3,1.331579551E-4,1.911176247E-3
7.205344100E-2,-7.989477599E-4,-3.994738800E-4,1.331579551E-4,9.031212238E-4
7.457739900E-2,1.331579522E-3,6.657897611E-4,-9.321057005E-4,1.756474044E-3
7.710125400E-2,2.663159103E-4,6.657897611E-4,1.198421582E-3,1.396572396E-3
7.962516000E-2,2.663159103E-4,-3.994738800E-4,-9.321057005E-4,1.048486806E-3
8.214906600E-2,2.663159103E-4,-1.464737463E-3,2.263685223E-3,2.709363539E-3
8.467292000E-2,-7.989477599E-4,-2.530001104E-3,2.263685223E-3,3.487620091E-3
8.719682700E-2,-7.989477599E-4,-1.464737463E-3,1.198421582E-3,2.054260851E-3
8.972073300E-2,-7.989477599E-4,-3.994738800E-4,2.263685223E-3,2.433550429E-3
9.217573300E-2,1.331579522E-3,6.657897611E-4,1.198421582E-3,1.911176161E-3
9.463073300E-2,-7.989477599E-4,-3.994738800E-4,1.331579551E-4,9.031212238E-4
9.712516000E-2,2.663159103E-4,-3.994738800E-4,-9.321057005E-4,1.048486806E-3
9.964505600E-2,2.663159103E-4,6.657897611E-4,1.331579551E-4,7.293361441E-4
1.021650040E-1,-7.989477599E-4,6.657897611E-4,-9.321057005E-4,1.396572435E-3
1.046848990E-1,-7.989477599E-4,6.657897611E-4,-9.321057005E-4,1.396572435E-3
1.072047950E-1,-1.864211401E-3,6.657897611E-4,1.198421582E-3,2.314038556E-3
1.097247430E-1,1.331579522E-3,-3.994738800E-4,1.198421582E-3,1.835455718E-3
1.122735970E-1,1.331579522E-3,6.657897611E-4,-9.321057005E-4,1.756474044E-3
1.147942740E-1,2.663159103E-4,-3.994738800E-4,-9.321057005E-4,1.048486806E-3
1.173148990E-1,1.331579522E-3,6.657897611E-4,1.331579551E-4,1.494694307E-3
1.198355240E-1,2.663159103E-4,6.657897611E-4,1.198421582E-3,1.396572396E-3
1.223562020E-1,2.663159103E-4,-1.464737463E-3,1.198421582E-3,1.911176153E-3
1.248768270E-1,2.663159103E-4,-1.464737463E-3,2.263685223E-3,2.709363539E-3
1.273974520E-1,-7.989477599E-4,-1.464737463E-3,1.198421582E-3,2.054260851E-3
1.299181290E-1,1.331579522E-3,-1.464737463E-3,-9.321057005E-4,2.188008431E-3
1.324631290E-1,1.331579522E-3,6.657897611E-4,1.198421582E-3,1.911176161E-3
1.350081290E-1,-7.989477599E-4,6.657897611E-4,1.198421582E-3,1.586760163E-3
1.375531290E-1,2.663159103E-4,6.657897611E-4,1.198421582E-3,1.396572396E-3
1.400981290E-1,2.663159103E-4,-1.464737463E-3,-9.321057005E-4,1.756474035E-3
1.426431290E-1,-7.989477599E-4,6.657897611E-4,-1.997369342E-3,2.251905374E-3
1.451881290E-1,1.331579522E-3,1.731053460E-3,2.263685223E-3,3.145460363E-3
1.477331290E-1,2.663159103E-4,6.657897611E-4,1.331579551E-4,7.293361441E-4
1.502781290E-1,2.663159103E-4,6.657897611E-4,2.263685223E-3,2.374546474E-3
1.528231290E-1,2.663159103E-4,-1.464737463E-3,2.263685223E-3,2.709363539E-3
1.553707330E-1,1.331579522E-3,-3.994738800E-4,1.331579551E-4,1.396572392E-3
1.578944310E-1,1.331579522E-3,6.657897611E-4,-9.321057005E-4,1.756474044E-3
1.604181290E-1,2.663159103E-4,-1.464737463E-3,-9.321057005E-4,1.756474035E-3
1.629418270E-1,2.663159103E-4,6.657897611E-4,2.263685223E-3,2.374546474E-3
1.654655770E-1,-7.989477599E-4,-1.464737463E-3,-9.321057005E-4,1.911176181E-3
1.679892740E-1,-7.989477599E-4,6.657897611E-4,-9.321057005E-4,1.396572435E-3
