"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.307798300E-2,2.663159103E-4,7.456845604E-3,1.065263641E-3,7.537257933E-3
2.560345200E-2,4.527370445E-3,1.384842768E-2,1.065263641E-3,1.460858717E-2
2.812892000E-2,2.663159103E-4,0.000000000E0,2.130527282E-3,2.147107511E-3
3.065433700E-2,-1.864211401E-3,-1.171789970E-2,3.195791040E-3,1.228810555E-2
3.317980600E-2,-1.864211401E-3,-5.326318089E-3,0.000000000E0,5.643132865E-3
3.570527500E-2,2.663159103E-4,6.391582079E-3,0.000000000E0,6.397127921E-3
3.823074300E-2,3.462106921E-3,7.456845604E-3,-1.065263641E-3,8.290085483E-3
4.073715000E-2,-7.989477599E-4,-1.065263641E-3,1.065263641E-3,1.705253873E-3
4.326215000E-2,-3.994738683E-3,-7.456845604E-3,1.065263641E-3,8.526269415E-3
4.578715000E-2,-1.864211401E-3,-3.195791040E-3,-1.065263641E-3,3.850084563E-3
4.831209700E-2,-1.864211401E-3,5.326318089E-3,1.065263641E-3,5.742798547E-3
5.083709700E-2,2.663159103E-4,5.326318089E-3,0.000000000E0,5.332971831E-3
5.336209700E-2,2.396843163E-3,0.000000000E0,1.065263641E-3,2.622907504E-3
5.588704500E-2,-7.989477599E-4,-2.130527282E-3,2.130527282E-3,3.117147819E-3
5.841204500E-2,1.331579522E-3,0.000000000E0,2.130527282E-3,2.512419257E-3
6.092444100E-2,2.396843163E-3,3.195791040E-3,3.195791040E-3,5.115761711E-3
6.344912900E-2,-7.989477599E-4,2.130527282E-3,-2.130527282E-3,3.117147819E-3
6.597376400E-2,-1.864211401E-3,0.000000000E0,-3.195791040E-3,3.699778982E-3
6.849845200E-2,1.331579522E-3,-2.130527282E-3,-1.065263641E-3,2.728926006E-3
7.102308700E-2,1.331579522E-3,-2.130527282E-3,-1.065263641E-3,2.728926006E-3
7.354777500E-2,2.663159103E-4,1.065263641E-3,0.000000000E0,1.098048628E-3
7.607246200E-2,-7.989477599E-4,1.065263641E-3,0.000000000E0,1.331579569E-3
7.859709700E-2,-7.989477599E-4,-1.065263641E-3,1.065263641E-3,1.705253873E-3
8.111168100E-2,2.663159103E-4,0.000000000E0,2.130527282E-3,2.147107511E-3
8.363610800E-2,2.663159103E-4,-1.065263641E-3,1.065263641E-3,1.529868430E-3
8.616048300E-2,-7.989477599E-4,1.065263641E-3,-1.065263641E-3,1.705253873E-3
8.868496200E-2,-1.864211401E-3,2.130527282E-3,0.000000000E0,2.830976978E-3
9.120933700E-2,-7.989477599E-4,1.065263641E-3,0.000000000E0,1.331579569E-3
9.373376400E-2,-1.864211401E-3,-1.065263641E-3,-1.065263641E-3,2.396843215E-3
9.625819100E-2,1.331579522E-3,-1.065263641E-3,-1.065263641E-3,2.010641011E-3
9.878256600E-2,-1.864211401E-3,1.065263641E-3,-1.065263641E-3,2.396843215E-3
1.012989200E-1,2.663159103E-4,-3.195791040E-3,1.065263641E-3,3.379170188E-3
1.038230870E-1,1.331579522E-3,2.130527282E-3,-1.065263641E-3,2.728926006E-3
1.063473060E-1,2.663159103E-4,1.065263641E-3,1.065263641E-3,1.529868430E-3
1.088715250E-1,2.396843163E-3,3.195791040E-3,1.065263641E-3,4.134334788E-3
1.113957430E-1,2.663159103E-4,1.065263641E-3,3.195791040E-3,3.379170188E-3
1.139199620E-1,2.663159103E-4,1.065263641E-3,1.065263641E-3,1.529868430E-3
1.164441810E-1,-7.989477599E-4,-1.065263641E-3,0.000000000E0,1.331579569E-3
1.189683470E-1,2.663159103E-4,-2.130527282E-3,0.000000000E0,2.147107511E-3
1.214862120E-1,1.331579522E-3,2.130527282E-3,-1.065263641E-3,2.728926006E-3
1.240102220E-1,-7.989477599E-4,2.130527282E-3,1.065263641E-3,2.512419282E-3
1.265342850E-1,2.663159103E-4,-1.065263641E-3,0.000000000E0,1.098048628E-3
1.290583470E-1,-7.989477599E-4,-2.130527282E-3,0.000000000E0,2.275404145E-3
1.315823580E-1,-7.989477599E-4,-2.130527282E-3,-1.065263641E-3,2.512419282E-3
1.341064200E-1,-7.989477599E-4,0.000000000E0,0.000000000E0,7.989477599E-4
1.366304830E-1,2.663159103E-4,0.000000000E0,-2.130527282E-3,2.147107511E-3
1.391545450E-1,2.663159103E-4,-1.065263641E-3,0.000000000E0,1.098048628E-3
1.416734000E-1,-7.989477599E-4,-3.195791040E-3,1.065263641E-3,3.462106948E-3
1.441973060E-1,1.331579522E-3,-1.065263641E-3,0.000000000E0,1.705253837E-3
1.467212640E-1,2.663159103E-4,-1.065263641E-3,-2.130527282E-3,2.396843192E-3
1.492451700E-1,1.331579522E-3,0.000000000E0,-2.130527282E-3,2.512419257E-3
1.517690770E-1,-7.989477599E-4,-2.130527282E-3,-2.130527282E-3,3.117147819E-3
1.542929830E-1,1.331579522E-3,0.000000000E0,0.000000000E0,1.331579522E-3
1.568169410E-1,1.331579522E-3,1.065263641E-3,2.130527282E-3,2.728926006E-3
1.593408470E-1,3.462106921E-3,-1.065263641E-3,1.065263641E-3,3.775679751E-3
1.618214200E-1,1.331579522E-3,0.000000000E0,0.000000000E0,1.331579522E-3
1.643442330E-1,-7.989477599E-4,0.000000000E0,-1.065263641E-3,1.331579569E-3
1.668670970E-1,-7.989477599E-4,1.065263641E-3,-1.065263641E-3,1.705253873E-3
1.693899100E-1,-7.989477599E-4,2.130527282E-3,3.195791040E-3,3.923078433E-3
1.719127750E-1,-1.864211401E-3,0.000000000E0,2.130527282E-3,2.830976978E-3
1.744355870E-1,-1.864211401E-3,-1.065263641E-3,0.000000000E0,2.147107536E-3
1.769584000E-1,-1.864211401E-3,-1.065263641E-3,1.065263641E-3,2.396843215E-3
1.794812640E-1,-7.989477599E-4,-1.065263641E-3,1.065263641E-3,1.705253873E-3
1.820262640E-1,-7.989477599E-4,-1.065263641E-3,1.065263641E-3,1.705253873E-3
1.845717330E-1,2.663159103E-4,0.000000000E0,0.000000000E0,2.663159103E-4
1.870956910E-1,1.331579522E-3,-1.065263641E-3,0.000000000E0,1.705253837E-3
1.896196500E-1,2.663159103E-4,2.130527282E-3,-1.065263641E-3,2.396843192E-3
1.921435560E-1,-7.989477599E-4,0.000000000E0,-1.065263641E-3,1.331579569E-3
1.946675140E-1,-1.864211401E-3,-1.065263641E-3,-2.130527282E-3,3.024767309E-3
1.971914200E-1,-7.989477599E-4,-2.130527282E-3,0.000000000E0,2.275404145E-3
1.997153790E-1,2.396843163E-3,-2.130527282E-3,0.000000000E0,3.206868200E-3
2.022350660E-1,1.331579522E-3,0.000000000E0,0.000000000E0,1.331579522E-3
2.047589200E-1,2.663159103E-4,0.000000000E0,1.065263641E-3,1.098048628E-3
2.072827220E-1,1.331579522E-3,1.065263641E-3,1.065263641E-3,2.010641011E-3
2.098065770E-1,2.396843163E-3,1.065263641E-3,0.000000000E0,2.622907504E-3
2.123303790E-1,-7.989477599E-4,0.000000000E0,1.065263641E-3,1.331579569E-3
2.148542330E-1,-1.864211401E-3,-1.065263641E-3,0.000000000E0,2.147107536E-3
2.173780350E-1,2.663159103E-4,0.000000000E0,-2.130527282E-3,2.147107511E-3
2.199018890E-1,2.663159103E-4,-2.130527282E-3,-1.065263641E-3,2.396843192E-3
2.223568890E-1,-2.929474926E-3,-3.195791040E-3,-1.065263641E-3,4.464268174E-3
2.248118890E-1,2.663159103E-4,-1.065263641E-3,-2.130527282E-3,2.396843192E-3
2.272641290E-1,2.663159103E-4,-1.065263641E-3,-2.130527282E-3,2.396843192E-3
2.297829830E-1,-1.864211401E-3,0.000000000E0,1.065263641E-3,2.147107536E-3
2.323018370E-1,2.663159103E-4,0.000000000E0,1.065263641E-3,1.098048628E-3
2.348207430E-1,-1.864211401E-3,1.065263641E-3,3.195791040E-3,3.850084563E-3
2.373395970E-1,1.331579522E-3,0.000000000E0,3.195791040E-3,3.462106930E-3
2.398584520E-1,1.331579522E-3,0.000000000E0,1.065263641E-3,1.705253837E-3
2.424034520E-1,2.663159103E-4,-2.130527282E-3,-2.130527282E-3,3.024767291E-3
2.449484520E-1,-1.864211401E-3,-2.130527282E-3,1.065263641E-3,3.024767309E-3
2.474934520E-1,1.331579522E-3,0.000000000E0,1.065263641E-3,1.705253837E-3
2.500384520E-1,2.396843163E-3,2.130527282E-3,1.065263641E-3,3.379170057E-3
2.525834520E-1,1.331579522E-3,4.261054564E-3,0.000000000E0,4.464268140E-3
2.551284520E-1,-7.989477599E-4,-1.065263641E-3,1.065263641E-3,1.705253873E-3
2.576734520E-1,1.331579522E-3,0.000000000E0,3.195791040E-3,3.462106930E-3
2.602184520E-1,2.663159103E-4,0.000000000E0,2.130527282E-3,2.147107511E-3
2.627634520E-1,-2.929474926E-3,1.065263641E-3,0.000000000E0,3.117147729E-3
2.653084520E-1,-7.989477599E-4,1.065263641E-3,2.130527282E-3,2.512419282E-3
2.678459000E-1,2.663159103E-4,0.000000000E0,2.130527282E-3,2.147107511E-3
2.703705350E-1,1.331579522E-3,1.065263641E-3,1.065263641E-3,2.010641011E-3
2.728951700E-1,1.331579522E-3,2.130527282E-3,-1.065263641E-3,2.728926006E-3
2.754198580E-1,-1.864211401E-3,0.000000000E0,2.130527282E-3,2.830976978E-3
2.779444930E-1,-1.864211401E-3,0.000000000E0,-1.065263641E-3,2.147107536E-3
2.804691810E-1,2.663159103E-4,-1.065263641E-3,-1.065263641E-3,1.529868430E-3
2.829445970E-1,1.331579522E-3,-1.065263641E-3,0.000000000E0,1.705253837E-3
2.854679830E-1,-1.864211401E-3,-1.065263641E-3,1.065263641E-3,2.396843215E-3
2.879914200E-1,2.663159103E-4,-1.065263641E-3,2.130527282E-3,2.396843192E-3
2.905148580E-1,1.331579522E-3,1.065263641E-3,1.065263641E-3,2.010641011E-3
2.930382950E-1,1.331579522E-3,-1.065263641E-3,0.000000000E0,1.705253837E-3
2.955617330E-1,-2.929474926E-3,-1.065263641E-3,-1.065263641E-3,3.294145806E-3
2.980851700E-1,-7.989477599E-4,0.000000000E0,1.065263641E-3,1.331579569E-3
3.006085560E-1,2.663159103E-4,-1.065263641E-3,3.195791040E-3,3.379170188E-3
3.031535560E-1,1.331579522E-3,0.000000000E0,0.000000000E0,1.331579522E-3
3.056953790E-1,2.663159103E-4,2.130527282E-3,1.065263641E-3,2.396843192E-3
3.082198060E-1,2.663159103E-4,-1.065263641E-3,-1.065263641E-3,1.529868430E-3
3.107442330E-1,-1.864211401E-3,0.000000000E0,0.000000000E0,1.864211401E-3
3.132686080E-1,-1.864211401E-3,0.000000000E0,-2.130527282E-3,2.830976978E-3
3.157930350E-1,2.663159103E-4,1.065263641E-3,-1.065263641E-3,1.529868430E-3
3.183174620E-1,-7.989477599E-4,2.130527282E-3,0.000000000E0,2.275404145E-3
3.208418370E-1,-1.864211401E-3,0.000000000E0,-1.065263641E-3,2.147107536E-3
3.233582430E-1,1.331579522E-3,1.065263641E-3,-1.065263641E-3,2.010641011E-3
