"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.621865600E-2,-1.198421582E-3,-6.657897611E-4,-1.997369342E-3,2.422596661E-3
2.874360400E-2,-1.331579551E-4,1.464737463E-3,1.331579551E-4,1.476793119E-3
3.126860400E-2,1.997369342E-3,-6.657897611E-4,-9.321057005E-4,2.302516304E-3
3.379355200E-2,-2.263685223E-3,3.994738800E-4,-9.321057005E-4,2.480457862E-3
3.631850000E-2,1.997369342E-3,3.994738800E-4,-9.321057005E-4,2.240063549E-3
3.884339500E-2,-1.331579551E-4,-2.796316985E-3,-1.997369342E-3,3.438982990E-3
4.136839500E-2,-1.198421582E-3,3.994738800E-4,-9.321057005E-4,1.569909139E-3
4.387891600E-2,-1.331579551E-4,2.530001104E-3,1.331579551E-4,2.536999737E-3
4.640344700E-2,9.321057005E-4,1.464737463E-3,1.331579551E-4,1.741266181E-3
4.892808300E-2,-1.331579551E-4,-1.731053460E-3,1.331579551E-4,1.741266253E-3
5.145266600E-2,-1.331579551E-4,-1.731053460E-3,-9.321057005E-4,1.970557830E-3
5.397719700E-2,-1.331579551E-4,-1.731053460E-3,1.331579551E-4,1.741266253E-3
5.650178100E-2,-2.263685223E-3,3.994738800E-4,-3.062632866E-3,3.829304146E-3
5.902636400E-2,-1.331579551E-4,3.994738800E-4,-1.997369342E-3,2.041272816E-3
6.155100000E-2,1.997369342E-3,3.994738800E-4,2.263685223E-3,3.045215010E-3
6.406667700E-2,4.127896391E-3,-6.657897611E-4,3.328948980E-3,5.344595956E-3
6.659110400E-2,-1.198421582E-3,-6.657897611E-4,1.198421582E-3,1.820907626E-3
6.911542700E-2,-1.198421582E-3,3.994738800E-4,1.331579551E-4,1.270245925E-3
7.163980200E-2,9.321057005E-4,3.994738800E-4,1.198421582E-3,1.569909139E-3
7.416417700E-2,9.321057005E-4,1.464737463E-3,-9.321057005E-4,1.970557766E-3
7.668855200E-2,9.321057005E-4,-6.657897611E-4,1.331579551E-4,1.153181722E-3
7.921287500E-2,9.321057005E-4,3.994738800E-4,1.331579551E-4,1.022805680E-3
8.173725000E-2,-1.331579551E-4,3.994738800E-4,1.331579551E-4,4.416349882E-4
8.425454100E-2,9.321057005E-4,-6.657897611E-4,-9.321057005E-4,1.476793174E-3
8.677870800E-2,-1.331579551E-4,3.994738800E-4,-1.997369342E-3,2.041272816E-3
8.930287500E-2,-1.331579551E-4,3.994738800E-4,1.331579551E-4,4.416349882E-4
9.182709300E-2,-1.331579551E-4,3.994738800E-4,-9.321057005E-4,1.022805680E-3
9.435126000E-2,-1.331579551E-4,2.530001104E-3,2.263685223E-3,3.397485455E-3
9.687542700E-2,9.321057005E-4,3.994738800E-4,3.328948980E-3,3.479985881E-3
9.939964500E-2,9.321057005E-4,3.994738800E-4,1.331579551E-4,1.022805680E-3
1.019238120E-1,9.321057005E-4,3.994738800E-4,-1.997369342E-3,2.240063549E-3
1.044424060E-1,9.321057005E-4,3.595264861E-3,-9.321057005E-4,3.829304310E-3
1.069664160E-1,9.321057005E-4,1.464737463E-3,-9.321057005E-4,1.970557766E-3
1.094904790E-1,9.321057005E-4,1.464737463E-3,1.331579551E-4,1.741266181E-3
1.120144890E-1,-1.331579551E-4,1.464737463E-3,1.331579551E-4,1.476793119E-3
1.145385520E-1,9.321057005E-4,2.530001104E-3,-1.997369342E-3,3.355474767E-3
1.170626140E-1,-1.331579551E-4,1.464737463E-3,-1.997369342E-3,2.480457853E-3
1.195866250E-1,-2.263685223E-3,3.994738800E-4,1.331579551E-4,2.302516278E-3
1.221106870E-1,-1.198421582E-3,3.994738800E-4,1.331579551E-4,1.270245925E-3
1.246302180E-1,-1.331579551E-4,3.994738800E-4,1.331579551E-4,4.416349882E-4
1.271541770E-1,9.321057005E-4,-1.731053460E-3,1.331579551E-4,1.970557830E-3
1.296780830E-1,-1.198421582E-3,-1.731053460E-3,-9.321057005E-4,2.302516321E-3
1.322020410E-1,-1.198421582E-3,3.994738800E-4,-1.997369342E-3,2.363319266E-3
1.347259470E-1,-1.198421582E-3,-1.731053460E-3,-9.321057005E-4,2.302516321E-3
1.372499060E-1,-1.331579551E-4,3.994738800E-4,1.198421582E-3,1.270245925E-3
1.397738120E-1,9.321057005E-4,-6.657897611E-4,1.331579551E-4,1.153181722E-3
1.422977700E-1,-1.198421582E-3,3.994738800E-4,1.198421582E-3,1.741266193E-3
1.448180310E-1,-1.331579551E-4,1.464737463E-3,1.331579551E-4,1.476793119E-3
1.473418850E-1,-1.331579551E-4,1.464737463E-3,1.331579551E-4,1.476793119E-3
1.498656870E-1,-1.331579551E-4,3.994738800E-4,-9.321057005E-4,1.022805680E-3
1.523895410E-1,-1.331579551E-4,-6.657897611E-4,1.331579551E-4,6.919090172E-4
1.549133950E-1,3.062632866E-3,-1.731053460E-3,-9.321057005E-4,3.639380056E-3
1.574372500E-1,-1.331579551E-4,1.464737463E-3,1.331579551E-4,1.476793119E-3
1.599610520E-1,9.321057005E-4,3.994738800E-4,1.331579551E-4,1.022805680E-3
1.624849060E-1,-1.331579551E-4,-6.657897611E-4,-9.321057005E-4,1.153181722E-3
1.650057910E-1,3.062632866E-3,3.994738800E-4,-3.062632866E-3,4.349599927E-3
1.675295410E-1,9.321057005E-4,3.994738800E-4,-1.997369342E-3,2.240063549E-3
1.700533430E-1,-1.198421582E-3,-6.657897611E-4,-9.321057005E-4,1.657803164E-3
1.725770930E-1,-1.331579551E-4,-6.657897611E-4,1.198421582E-3,1.377396578E-3
1.751008430E-1,9.321057005E-4,3.994738800E-4,1.331579551E-4,1.022805680E-3
1.776246450E-1,-1.198421582E-3,-6.657897611E-4,1.331579551E-4,1.377396578E-3
1.801483950E-1,9.321057005E-4,1.464737463E-3,-9.321057005E-4,1.970557766E-3
1.826721450E-1,1.997369342E-3,-6.657897611E-4,1.331579551E-4,2.109618765E-3
1.851271450E-1,9.321057005E-4,3.994738800E-4,1.331579551E-4,1.022805680E-3
1.875821450E-1,-1.198421582E-3,2.530001104E-3,-9.321057005E-4,2.950583147E-3
1.900354270E-1,-1.198421582E-3,-6.657897611E-4,2.263685223E-3,2.646461993E-3
1.925542290E-1,-1.331579551E-4,-2.796316985E-3,-1.997369342E-3,3.438982990E-3
1.950730310E-1,-1.331579551E-4,-6.657897611E-4,-9.321057005E-4,1.153181722E-3
1.975918850E-1,-1.331579551E-4,-6.657897611E-4,2.263685223E-3,2.363319241E-3
2.001107390E-1,-1.331579551E-4,-6.657897611E-4,1.331579551E-4,6.919090172E-4
2.026295410E-1,9.321057005E-4,-6.657897611E-4,1.331579551E-4,1.153181722E-3
2.051745410E-1,-1.331579551E-4,3.994738800E-4,1.198421582E-3,1.270245925E-3
2.077195410E-1,9.321057005E-4,-6.657897611E-4,1.198421582E-3,1.657803164E-3
2.102645410E-1,9.321057005E-4,-6.657897611E-4,1.331579551E-4,1.153181722E-3
2.128095410E-1,-1.198421582E-3,3.994738800E-4,-9.321057005E-4,1.569909139E-3
2.153545410E-1,-1.331579551E-4,-2.796316985E-3,-3.062632866E-3,4.149317992E-3
2.178995410E-1,-1.331579551E-4,-3.861580743E-3,-9.321057005E-4,3.974714821E-3
