"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.749177700E-2,-3.728422802E-3,9.321057005E-4,-1.065263641E-3,3.988075257E-3
2.001703800E-2,-3.728422802E-3,-1.198421582E-3,-1.065263641E-3,4.058588117E-3
2.254219400E-2,-2.663159044E-3,-3.328948980E-3,-1.065263641E-3,4.394212561E-3
2.506740200E-2,-2.663159044E-3,-1.331579551E-4,-1.065263641E-3,2.871399269E-3
2.759261000E-2,5.326318205E-4,-1.331579551E-4,-1.065263641E-3,1.198421596E-3
3.011776700E-2,1.597895520E-3,-1.198421582E-3,-3.195791040E-3,3.768629028E-3
3.264297500E-2,4.793686327E-3,9.321057005E-4,-2.130527282E-3,5.327982370E-3
3.519130800E-2,5.326318205E-4,4.127896391E-3,-1.065263641E-3,4.296278843E-3
3.771709000E-2,2.663159044E-3,1.997369342E-3,-1.065263641E-3,3.495237761E-3
4.024287100E-2,5.326318205E-4,4.127896391E-3,-2.130527282E-3,4.675721524E-3
4.276865200E-2,-3.728422802E-3,5.193160381E-3,-1.065263641E-3,6.481113944E-3
4.529443300E-2,-5.326318205E-4,1.997369342E-3,-1.065263641E-3,2.325503723E-3
4.782021500E-2,5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
5.034599600E-2,-5.326318205E-4,1.997369342E-3,-1.065263641E-3,2.325503723E-3
5.287177700E-2,5.326318205E-4,9.321057005E-4,0.000000000E0,1.073553768E-3
5.537948500E-2,-5.326318205E-4,-2.263685223E-3,0.000000000E0,2.325503697E-3
5.790479800E-2,1.597895520E-3,-4.394212738E-3,1.065263641E-3,4.795535664E-3
6.043011000E-2,5.326318205E-4,-3.328948980E-3,-2.130527282E-3,3.988075284E-3
6.295542300E-2,-5.326318205E-4,-1.198421582E-3,-3.195791040E-3,3.454416204E-3
6.548078800E-2,5.326318205E-4,-1.198421582E-3,1.065263641E-3,1.689585029E-3
6.800610000E-2,-1.597895520E-3,-1.198421582E-3,0.000000000E0,1.997369365E-3
7.053141300E-2,-1.597895520E-3,-1.198421582E-3,-4.261054564E-3,4.705961154E-3
7.305672500E-2,-2.663159044E-3,-1.198421582E-3,-2.130527282E-3,3.614938019E-3
7.556755800E-2,-5.326318205E-4,1.997369342E-3,1.065263641E-3,2.325503723E-3
7.809255800E-2,1.597895520E-3,-1.331579551E-4,2.130527282E-3,2.666486008E-3
8.061745400E-2,2.663159044E-3,9.321057005E-4,-1.065263641E-3,3.015961498E-3
8.314245400E-2,1.597895520E-3,9.321057005E-4,-2.130527282E-3,2.821566520E-3
8.566740200E-2,1.597895520E-3,-1.331579551E-4,0.000000000E0,1.603434169E-3
8.819235000E-2,3.728422802E-3,-1.331579551E-4,2.130527282E-3,4.296279103E-3
9.071735000E-2,-1.597895520E-3,-1.331579551E-4,1.065263641E-3,1.925042274E-3
9.324229800E-2,-1.597895520E-3,-1.331579551E-4,1.065263641E-3,1.925042274E-3
9.575568300E-2,1.597895520E-3,-1.198421582E-3,2.130527282E-3,2.920381975E-3
9.828037100E-2,5.326318205E-4,-1.331579551E-4,2.130527282E-3,2.200130495E-3
1.008050580E-1,-1.597895520E-3,-1.198421582E-3,-2.130527282E-3,2.920381975E-3
1.033296940E-1,5.326318205E-4,-1.331579551E-4,-1.065263641E-3,1.198421596E-3
1.058543810E-1,1.597895520E-3,9.321057005E-4,0.000000000E0,1.849889491E-3
1.083790170E-1,-5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
1.109037040E-1,-2.663159044E-3,1.997369342E-3,-1.065263641E-3,3.495237761E-3
1.134283920E-1,-5.326318205E-4,3.062632866E-3,0.000000000E0,3.108603662E-3
1.159438080E-1,5.326318205E-4,3.062632866E-3,-1.065263641E-3,3.286061983E-3
1.184682350E-1,3.728422802E-3,9.321057005E-4,0.000000000E0,3.843170257E-3
1.209926630E-1,-5.326318205E-4,-1.331579551E-4,-1.065263641E-3,1.198421596E-3
1.235171420E-1,5.326318205E-4,-1.198421582E-3,-2.130527282E-3,2.501810833E-3
1.260415690E-1,5.326318205E-4,-1.198421582E-3,0.000000000E0,1.311453752E-3
1.285660480E-1,-1.597895520E-3,9.321057005E-4,0.000000000E0,1.849889491E-3
1.310904230E-1,-1.597895520E-3,1.997369342E-3,-1.065263641E-3,2.770837600E-3
1.336149020E-1,5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
1.360699020E-1,5.326318205E-4,1.997369342E-3,2.130527282E-3,2.968556458E-3
1.385249020E-1,-5.326318205E-4,-1.331579551E-4,-2.130527282E-3,2.200130495E-3
1.409799020E-1,-5.326318205E-4,-1.198421582E-3,-2.130527282E-3,2.501810833E-3
1.434940690E-1,5.326318205E-4,-1.198421582E-3,2.130527282E-3,2.501810833E-3
1.460134440E-1,5.326318205E-4,-1.331579551E-4,0.000000000E0,5.490243139E-4
1.485328190E-1,-5.326318205E-4,1.997369342E-3,-1.065263641E-3,2.325503723E-3
1.510521940E-1,-1.597895520E-3,3.062632866E-3,2.130527282E-3,4.058588014E-3
1.535715690E-1,1.597895520E-3,1.997369342E-3,-1.065263641E-3,2.770837600E-3
1.561165690E-1,5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
1.586439650E-1,5.326318205E-4,1.997369342E-3,1.065263641E-3,2.325503723E-3
1.611641730E-1,-5.326318205E-4,1.997369342E-3,0.000000000E0,2.067167372E-3
1.636843810E-1,1.597895520E-3,-2.263685223E-3,0.000000000E0,2.770837577E-3
1.662046420E-1,5.326318205E-4,-1.198421582E-3,0.000000000E0,1.311453752E-3
1.687247980E-1,-1.597895520E-3,9.321057005E-4,-1.065263641E-3,2.134684462E-3
1.712450060E-1,-5.326318205E-4,-1.198421582E-3,0.000000000E0,1.311453752E-3
1.737652150E-1,-5.326318205E-4,-1.198421582E-3,1.065263641E-3,1.689585029E-3
1.763102150E-1,5.326318205E-4,-2.263685223E-3,1.065263641E-3,2.557880777E-3
1.788552150E-1,1.597895520E-3,9.321057005E-4,-2.130527282E-3,2.821566520E-3
1.814002150E-1,-5.326318205E-4,9.321057005E-4,-2.130527282E-3,2.385720896E-3
1.839452150E-1,5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
1.864902150E-1,1.597895520E-3,1.997369342E-3,0.000000000E0,2.557880837E-3
1.890352150E-1,-5.326318205E-4,-2.263685223E-3,-1.065263641E-3,2.557880777E-3
1.915802150E-1,-5.326318205E-4,-1.198421582E-3,1.065263641E-3,1.689585029E-3
1.941252150E-1,5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
1.966702150E-1,5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
1.992195900E-1,5.326318205E-4,-1.331579551E-4,0.000000000E0,5.490243139E-4
2.017429230E-1,5.326318205E-4,-1.198421582E-3,0.000000000E0,1.311453752E-3
2.042662560E-1,5.326318205E-4,9.321057005E-4,0.000000000E0,1.073553768E-3
2.067895900E-1,-5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
2.093129230E-1,1.597895520E-3,-1.198421582E-3,0.000000000E0,1.997369365E-3
2.118362560E-1,-5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
2.143595900E-1,-5.326318205E-4,1.997369342E-3,-1.065263641E-3,2.325503723E-3
2.168451100E-1,-1.597895520E-3,-2.263685223E-3,0.000000000E0,2.770837577E-3
2.193674540E-1,-5.326318205E-4,-1.198421582E-3,1.065263641E-3,1.689585029E-3
2.218898500E-1,5.326318205E-4,-1.331579551E-4,3.195791040E-3,3.242608220E-3
2.244122460E-1,5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
2.269346420E-1,-1.597895520E-3,1.997369342E-3,-1.065263641E-3,2.770837600E-3
2.294570380E-1,5.326318205E-4,9.321057005E-4,0.000000000E0,1.073553768E-3
2.319794330E-1,5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
2.345017770E-1,-1.597895520E-3,9.321057005E-4,-2.130527282E-3,2.821566520E-3
2.370467770E-1,1.597895520E-3,9.321057005E-4,0.000000000E0,1.849889491E-3
2.395958920E-1,1.597895520E-3,-1.198421582E-3,-1.065263641E-3,2.263685271E-3
2.421194850E-1,5.326318205E-4,9.321057005E-4,0.000000000E0,1.073553768E-3
2.446430790E-1,2.663159044E-3,1.997369342E-3,2.130527282E-3,3.952347009E-3
2.471666730E-1,1.597895520E-3,3.062632866E-3,2.130527282E-3,4.058588014E-3
2.496902670E-1,5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
2.522138600E-1,5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
2.547374540E-1,1.597895520E-3,-1.331579551E-4,0.000000000E0,1.603434169E-3
2.571924540E-1,-5.326318205E-4,-1.198421582E-3,0.000000000E0,1.311453752E-3
2.596474540E-1,1.597895520E-3,9.321057005E-4,0.000000000E0,1.849889491E-3
2.621019330E-1,-1.597895520E-3,9.321057005E-4,0.000000000E0,1.849889491E-3
2.646206310E-1,5.326318205E-4,9.321057005E-4,3.195791040E-3,3.371290267E-3
2.671393290E-1,5.326318205E-4,-1.331579551E-4,2.130527282E-3,2.200130495E-3
2.696580270E-1,-5.326318205E-4,-1.198421582E-3,-3.195791040E-3,3.454416204E-3
2.721767250E-1,1.597895520E-3,-1.198421582E-3,0.000000000E0,1.997369365E-3
2.746954230E-1,5.326318205E-4,-1.331579551E-4,2.130527282E-3,2.200130495E-3
2.771741730E-1,1.597895520E-3,-1.198421582E-3,-1.065263641E-3,2.263685271E-3
2.796918810E-1,2.663159044E-3,-1.198421582E-3,1.065263641E-3,3.108603707E-3
2.822095900E-1,-1.597895520E-3,-1.331579551E-4,0.000000000E0,1.603434169E-3
2.847272980E-1,-5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
2.872450060E-1,1.597895520E-3,9.321057005E-4,-1.065263641E-3,2.134684462E-3
2.897626630E-1,5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
2.922803710E-1,-5.326318205E-4,1.997369342E-3,-2.130527282E-3,2.968556458E-3
2.947980790E-1,5.326318205E-4,1.997369342E-3,-1.065263641E-3,2.325503723E-3
2.973430790E-1,5.326318205E-4,1.997369342E-3,-1.065263641E-3,2.325503723E-3
2.998880790E-1,-5.326318205E-4,-1.198421582E-3,-1.065263641E-3,1.689585029E-3
3.024330790E-1,-1.597895520E-3,9.321057005E-4,2.130527282E-3,2.821566520E-3
3.049780790E-1,-5.326318205E-4,1.997369342E-3,-1.065263641E-3,2.325503723E-3
3.075230790E-1,-1.597895520E-3,-1.198421582E-3,-3.195791040E-3,3.768629028E-3
3.100680790E-1,1.597895520E-3,-1.331579551E-4,1.065263641E-3,1.925042274E-3
3.126130790E-1,-5.326318205E-4,-1.331579551E-4,2.130527282E-3,2.200130495E-3
3.151580790E-1,-1.597895520E-3,-1.331579551E-4,0.000000000E0,1.603434169E-3
3.177030790E-1,-5.326318205E-4,-1.198421582E-3,-1.065263641E-3,1.689585029E-3
3.202480790E-1,5.326318205E-4,-1.331579551E-4,0.000000000E0,5.490243139E-4
3.227930790E-1,5.326318205E-4,-2.263685223E-3,0.000000000E0,2.325503697E-3
3.253380790E-1,-5.326318205E-4,1.997369342E-3,1.065263641E-3,2.325503723E-3
3.278830790E-1,-1.597895520E-3,1.997369342E-3,-1.065263641E-3,2.770837600E-3
3.304280790E-1,5.326318205E-4,-1.198421582E-3,-1.065263641E-3,1.689585029E-3
3.329588600E-1,5.326318205E-4,-1.331579551E-4,-2.130527282E-3,2.200130495E-3
3.354812040E-1,1.597895520E-3,1.997369342E-3,-2.130527282E-3,3.328948915E-3
3.379362040E-1,1.597895520E-3,-1.198421582E-3,-1.065263641E-3,2.263685271E-3
3.403912040E-1,-5.326318205E-4,-1.198421582E-3,0.000000000E0,1.311453752E-3
3.428524020E-1,-5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
3.453701100E-1,5.326318205E-4,9.321057005E-4,0.000000000E0,1.073553768E-3
3.478877670E-1,5.326318205E-4,-1.198421582E-3,2.130527282E-3,2.501810833E-3
3.504054750E-1,-5.326318205E-4,-2.263685223E-3,2.130527282E-3,3.153904555E-3
3.529231830E-1,-1.597895520E-3,-2.263685223E-3,-1.065263641E-3,2.968556468E-3
3.554408400E-1,-5.326318205E-4,-2.263685223E-3,-2.130527282E-3,3.153904555E-3
3.579858400E-1,-5.326318205E-4,-1.331579551E-4,-2.130527282E-3,2.200130495E-3
3.605236000E-1,-5.326318205E-4,9.321057005E-4,0.000000000E0,1.073553768E-3
3.630425060E-1,5.326318205E-4,-1.331579551E-4,0.000000000E0,5.490243139E-4
3.655613600E-1,5.326318205E-4,-1.331579551E-4,0.000000000E0,5.490243139E-4
3.680802150E-1,1.597895520E-3,-1.331579551E-4,-1.065263641E-3,1.925042274E-3
3.705990690E-1,5.326318205E-4,-1.331579551E-4,0.000000000E0,5.490243139E-4
3.731178710E-1,-5.326318205E-4,-2.263685223E-3,-1.065263641E-3,2.557880777E-3
3.756367250E-1,5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
3.781817250E-1,5.326318205E-4,-1.331579551E-4,-1.065263641E-3,1.198421596E-3
3.807124020E-1,-5.326318205E-4,-1.331579551E-4,0.000000000E0,5.490243139E-4
3.832321940E-1,-5.326318205E-4,-1.198421582E-3,-2.130527282E-3,2.501810833E-3
3.857519850E-1,-5.326318205E-4,-1.331579551E-4,-1.065263641E-3,1.198421596E-3
3.882717770E-1,-1.597895520E-3,-1.198421582E-3,1.065263641E-3,2.263685271E-3
3.907915690E-1,-5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
3.933113600E-1,-5.326318205E-4,9.321057005E-4,-2.130527282E-3,2.385720896E-3
3.958311000E-1,-1.597895520E-3,9.321057005E-4,-1.065263641E-3,2.134684462E-3
3.983761000E-1,5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
4.009211000E-1,-1.597895520E-3,-1.331579551E-4,0.000000000E0,1.603434169E-3
4.034661000E-1,5.326318205E-4,-1.198421582E-3,1.065263641E-3,1.689585029E-3
4.060111000E-1,5.326318205E-4,-2.263685223E-3,1.065263641E-3,2.557880777E-3
4.085561000E-1,5.326318205E-4,-1.198421582E-3,0.000000000E0,1.311453752E-3
4.111011000E-1,5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
4.136461000E-1,5.326318205E-4,3.062632866E-3,2.130527282E-3,3.768628826E-3
4.161911000E-1,-1.597895520E-3,9.321057005E-4,0.000000000E0,1.849889491E-3
4.187361000E-1,-2.663159044E-3,-1.198421582E-3,1.065263641E-3,3.108603707E-3
4.212811000E-1,1.597895520E-3,1.997369342E-3,2.130527282E-3,3.328948915E-3
4.238110480E-1,-5.326318205E-4,9.321057005E-4,2.130527282E-3,2.385720896E-3
4.263340170E-1,-1.597895520E-3,-1.331579551E-4,0.000000000E0,1.603434169E-3
4.288570380E-1,5.326318205E-4,-1.198421582E-3,1.065263641E-3,1.689585029E-3
4.313800580E-1,-5.326318205E-4,9.321057005E-4,1.065263641E-3,1.512383654E-3
4.339030790E-1,5.326318205E-4,3.062632866E-3,0.000000000E0,3.108603662E-3
4.364260480E-1,5.326318205E-4,9.321057005E-4,-1.065263641E-3,1.512383654E-3
4.388810480E-1,-1.597895520E-3,-1.198421582E-3,-1.065263641E-3,2.263685271E-3
4.413360480E-1,-1.597895520E-3,9.321057005E-4,2.130527282E-3,2.821566520E-3
4.437910480E-1,-5.326318205E-4,1.997369342E-3,-2.130527282E-3,2.968556458E-3
4.462698500E-1,-3.728422802E-3,-1.198421582E-3,-1.065263641E-3,4.058588117E-3
4.487871420E-1,-1.597895520E-3,-1.331579551E-4,4.261054564E-3,4.552755993E-3
4.513044330E-1,-5.326318205E-4,-1.198421582E-3,0.000000000E0,1.311453752E-3
4.538216730E-1,-1.597895520E-3,9.321057005E-4,-2.130527282E-3,2.821566520E-3
4.563389650E-1,-1.597895520E-3,1.997369342E-3,0.000000000E0,2.557880837E-3
4.588839650E-1,-2.663159044E-3,-1.198421582E-3,-2.130527282E-3,3.614938019E-3
