"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.158219800E-2,-1.198421582E-3,-0.000000000E0,1.065263641E-3,1.603434100E-3
2.410839600E-2,9.321057005E-4,1.065263641E-3,-1.065263641E-3,1.771551379E-3
2.663459400E-2,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
2.916084400E-2,9.321057005E-4,-0.000000000E0,0.000000000E0,9.321057005E-4
3.168704200E-2,-1.198421582E-3,-2.130527282E-3,0.000000000E0,2.444455111E-3
3.421318800E-2,-3.328948980E-3,-0.000000000E0,-1.065263641E-3,3.495237894E-3
3.673938600E-2,9.321057005E-4,1.065263641E-3,0.000000000E0,1.415488489E-3
3.924219800E-2,1.997369342E-3,3.195791040E-3,2.130527282E-3,4.329169800E-3
4.176782300E-2,9.321057005E-4,1.065263641E-3,1.065263641E-3,1.771551379E-3
4.429344800E-2,3.062632866E-3,-2.130527282E-3,0.000000000E0,3.730799723E-3
4.681902100E-2,1.997369342E-3,-2.130527282E-3,-1.065263641E-3,3.108603772E-3
4.934469800E-2,-1.331579551E-4,-1.065263641E-3,-1.065263641E-3,1.512383645E-3
5.187027100E-2,-1.198421582E-3,-0.000000000E0,0.000000000E0,1.198421582E-3
5.439589600E-2,-2.263685223E-3,1.065263641E-3,-1.065263641E-3,2.719162378E-3
5.692146900E-2,-2.263685223E-3,3.195791040E-3,1.065263641E-3,4.058588151E-3
5.943100000E-2,-1.198421582E-3,1.065263641E-3,-2.130527282E-3,2.666485967E-3
6.195620900E-2,-1.331579551E-4,-0.000000000E0,-1.065263641E-3,1.073553756E-3
6.448141700E-2,9.321057005E-4,1.065263641E-3,1.065263641E-3,1.771551379E-3
6.700662500E-2,1.997369342E-3,2.130527282E-3,0.000000000E0,2.920381959E-3
6.953188600E-2,1.997369342E-3,1.065263641E-3,0.000000000E0,2.263685250E-3
7.205709400E-2,9.321057005E-4,-1.065263641E-3,0.000000000E0,1.415488489E-3
7.458230300E-2,3.062632866E-3,-0.000000000E0,2.130527282E-3,3.730799723E-3
7.710745900E-2,-1.198421582E-3,1.065263641E-3,2.130527282E-3,2.666485967E-3
7.961980300E-2,-1.198421582E-3,1.065263641E-3,1.065263641E-3,1.925042217E-3
8.214469800E-2,9.321057005E-4,2.130527282E-3,0.000000000E0,2.325503717E-3
8.466964600E-2,-1.331579551E-4,3.195791040E-3,0.000000000E0,3.198563961E-3
8.719449000E-2,-1.198421582E-3,2.130527282E-3,1.065263641E-3,2.666485967E-3
8.971938600E-2,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
9.224428200E-2,9.321057005E-4,-1.065263641E-3,1.065263641E-3,1.771551379E-3
9.476917800E-2,9.321057005E-4,1.065263641E-3,1.065263641E-3,1.771551379E-3
9.729407300E-2,-1.198421582E-3,2.130527282E-3,1.065263641E-3,2.666485967E-3
9.980865700E-2,-1.198421582E-3,-1.065263641E-3,2.130527282E-3,2.666485967E-3
1.023332400E-1,1.997369342E-3,-1.065263641E-3,0.000000000E0,2.263685250E-3
1.048578750E-1,9.321057005E-4,1.065263641E-3,2.130527282E-3,2.557880795E-3
1.073825110E-1,9.321057005E-4,-1.065263641E-3,1.065263641E-3,1.771551379E-3
1.099071460E-1,-1.331579551E-4,1.065263641E-3,-1.065263641E-3,1.512383645E-3
1.124317300E-1,1.997369342E-3,3.195791040E-3,0.000000000E0,3.768629015E-3
1.149564170E-1,-1.331579551E-4,-0.000000000E0,1.065263641E-3,1.073553756E-3
1.174810000E-1,-1.198421582E-3,1.065263641E-3,-1.065263641E-3,1.925042217E-3
1.199581880E-1,1.997369342E-3,-1.065263641E-3,-1.065263641E-3,2.501810851E-3
1.224816250E-1,-1.198421582E-3,1.065263641E-3,1.065263641E-3,1.925042217E-3
1.250050630E-1,-1.198421582E-3,-0.000000000E0,-1.065263641E-3,1.603434100E-3
1.275285000E-1,-1.331579551E-4,-1.065263641E-3,0.000000000E0,1.073553756E-3
1.300519380E-1,-1.331579551E-4,-1.065263641E-3,0.000000000E0,1.073553756E-3
1.325753750E-1,9.321057005E-4,-1.065263641E-3,0.000000000E0,1.415488489E-3
1.350988130E-1,1.997369342E-3,1.065263641E-3,0.000000000E0,2.263685250E-3
1.376222500E-1,-1.331579551E-4,3.195791040E-3,1.065263641E-3,3.371290263E-3
1.401672500E-1,9.321057005E-4,-0.000000000E0,-1.065263641E-3,1.415488489E-3
1.427105840E-1,-1.198421582E-3,-3.195791040E-3,-2.130527282E-3,4.023486194E-3
1.452350630E-1,9.321057005E-4,-2.130527282E-3,-3.195791040E-3,3.952347139E-3
1.477595420E-1,-1.331579551E-4,-0.000000000E0,1.065263641E-3,1.073553756E-3
1.502839690E-1,-1.198421582E-3,-0.000000000E0,1.065263641E-3,1.603434100E-3
1.528083960E-1,-1.198421582E-3,-1.065263641E-3,-3.195791040E-3,3.575483363E-3
1.553328750E-1,1.997369342E-3,-1.065263641E-3,1.065263641E-3,2.501810851E-3
1.578573550E-1,9.321057005E-4,-1.065263641E-3,1.065263641E-3,1.771551379E-3
1.603749070E-1,-1.198421582E-3,-1.065263641E-3,2.130527282E-3,2.666485967E-3
1.628992300E-1,-1.331579551E-4,-0.000000000E0,2.130527282E-3,2.134684412E-3
1.654235000E-1,-1.198421582E-3,1.065263641E-3,0.000000000E0,1.603434100E-3
1.679477710E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
1.704720940E-1,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
1.729963650E-1,-1.198421582E-3,-0.000000000E0,0.000000000E0,1.198421582E-3
1.755206880E-1,1.997369342E-3,-1.065263641E-3,-1.065263641E-3,2.501810851E-3
1.780449070E-1,9.321057005E-4,1.065263641E-3,0.000000000E0,1.415488489E-3
1.805637090E-1,-2.263685223E-3,1.065263641E-3,1.065263641E-3,2.719162378E-3
1.830878750E-1,-1.198421582E-3,-0.000000000E0,0.000000000E0,1.198421582E-3
1.856120420E-1,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
1.881361570E-1,9.321057005E-4,1.065263641E-3,0.000000000E0,1.415488489E-3
1.906603230E-1,-1.331579551E-4,-2.130527282E-3,1.065263641E-3,2.385720890E-3
1.931844900E-1,-2.263685223E-3,-1.065263641E-3,0.000000000E0,2.501810827E-3
1.957086050E-1,-1.331579551E-4,-1.065263641E-3,-1.065263641E-3,1.512383645E-3
1.982327710E-1,9.321057005E-4,2.130527282E-3,0.000000000E0,2.325503717E-3
2.007525110E-1,-1.331579551E-4,1.065263641E-3,-2.130527282E-3,2.385720890E-3
2.032765210E-1,-1.198421582E-3,-0.000000000E0,-1.065263641E-3,1.603434100E-3
2.058005840E-1,-1.198421582E-3,1.065263641E-3,1.065263641E-3,1.925042217E-3
2.083245940E-1,9.321057005E-4,2.130527282E-3,0.000000000E0,2.325503717E-3
2.108486050E-1,-1.331579551E-4,2.130527282E-3,-1.065263641E-3,2.385720890E-3
2.133726670E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
2.158966780E-1,-1.331579551E-4,-0.000000000E0,-1.065263641E-3,1.073553756E-3
2.184207400E-1,-1.198421582E-3,2.130527282E-3,0.000000000E0,2.444455111E-3
2.209412610E-1,1.997369342E-3,-1.065263641E-3,1.065263641E-3,2.501810851E-3
2.234652190E-1,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
2.259891250E-1,-1.331579551E-4,2.130527282E-3,-1.065263641E-3,2.385720890E-3
2.285130840E-1,9.321057005E-4,-0.000000000E0,-1.065263641E-3,1.415488489E-3
2.310370420E-1,3.062632866E-3,3.195791040E-3,0.000000000E0,4.426375542E-3
2.335610000E-1,-1.198421582E-3,1.065263641E-3,2.130527282E-3,2.666485967E-3
2.360849590E-1,-1.198421582E-3,-1.065263641E-3,1.065263641E-3,1.925042217E-3
2.386089170E-1,1.997369342E-3,-1.065263641E-3,1.065263641E-3,2.501810851E-3
2.411300110E-1,-1.198421582E-3,1.065263641E-3,0.000000000E0,1.603434100E-3
2.436539170E-1,-1.331579551E-4,3.195791040E-3,2.130527282E-3,3.843170294E-3
2.461777710E-1,1.997369342E-3,-0.000000000E0,0.000000000E0,1.997369342E-3
2.487016250E-1,9.321057005E-4,2.130527282E-3,1.065263641E-3,2.557880795E-3
2.512255320E-1,-1.198421582E-3,3.195791040E-3,0.000000000E0,3.413106306E-3
2.537493860E-1,-1.331579551E-4,-0.000000000E0,-2.130527282E-3,2.134684412E-3
2.562732920E-1,9.321057005E-4,-2.130527282E-3,0.000000000E0,2.325503717E-3
2.587971460E-1,-1.198421582E-3,1.065263641E-3,0.000000000E0,1.603434100E-3
2.613187610E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
2.638425630E-1,9.321057005E-4,-1.065263641E-3,-1.065263641E-3,1.771551379E-3
2.663664170E-1,-2.263685223E-3,1.065263641E-3,-2.130527282E-3,3.286062068E-3
2.688902190E-1,1.997369342E-3,-2.130527282E-3,-4.261054564E-3,5.165773590E-3
2.714140730E-1,9.321057005E-4,-2.130527282E-3,1.065263641E-3,2.557880795E-3
2.739378750E-1,1.997369342E-3,1.065263641E-3,1.065263641E-3,2.501810851E-3
2.764616780E-1,-1.198421582E-3,-1.065263641E-3,-1.065263641E-3,1.925042217E-3
2.789855320E-1,-1.198421582E-3,-1.065263641E-3,-1.065263641E-3,1.925042217E-3
2.815075110E-1,-1.198421582E-3,-1.065263641E-3,0.000000000E0,1.603434100E-3
2.840313130E-1,-1.198421582E-3,2.130527282E-3,1.065263641E-3,2.666485967E-3
2.865550630E-1,-3.328948980E-3,-0.000000000E0,-2.130527282E-3,3.952347127E-3
2.890788130E-1,-1.198421582E-3,-1.065263641E-3,0.000000000E0,1.603434100E-3
2.916026150E-1,9.321057005E-4,2.130527282E-3,0.000000000E0,2.325503717E-3
2.941263650E-1,-1.331579551E-4,1.065263641E-3,1.065263641E-3,1.512383645E-3
2.966502190E-1,9.321057005E-4,1.065263641E-3,-1.065263641E-3,1.771551379E-3
2.991739170E-1,-1.331579551E-4,-1.065263641E-3,0.000000000E0,1.073553756E-3
3.016962610E-1,-1.331579551E-4,1.065263641E-3,2.130527282E-3,2.385720890E-3
3.042200630E-1,-1.198421582E-3,3.195791040E-3,0.000000000E0,3.413106306E-3
3.067437610E-1,-1.198421582E-3,-0.000000000E0,0.000000000E0,1.198421582E-3
3.092675110E-1,-1.198421582E-3,-2.130527282E-3,0.000000000E0,2.444455111E-3
3.117912610E-1,-1.331579551E-4,-1.065263641E-3,0.000000000E0,1.073553756E-3
3.143149590E-1,9.321057005E-4,1.065263641E-3,-1.065263641E-3,1.771551379E-3
3.168387610E-1,-1.198421582E-3,1.065263641E-3,0.000000000E0,1.603434100E-3
3.193624590E-1,-1.331579551E-4,-2.130527282E-3,2.130527282E-3,3.015961545E-3
3.218850110E-1,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
3.244087610E-1,-1.331579551E-4,1.065263641E-3,0.000000000E0,1.073553756E-3
3.269325110E-1,-2.263685223E-3,2.130527282E-3,0.000000000E0,3.108603752E-3
3.294562090E-1,-2.263685223E-3,1.065263641E-3,1.065263641E-3,2.719162378E-3
3.319798550E-1,9.321057005E-4,-0.000000000E0,0.000000000E0,9.321057005E-4
3.345036050E-1,-1.331579551E-4,1.065263641E-3,-3.195791040E-3,3.371290263E-3
3.370273030E-1,9.321057005E-4,-0.000000000E0,-2.130527282E-3,2.325503717E-3
3.395510530E-1,1.997369342E-3,-0.000000000E0,0.000000000E0,1.997369342E-3
3.420738130E-1,1.997369342E-3,1.065263641E-3,0.000000000E0,2.263685250E-3
3.445975110E-1,-2.263685223E-3,-0.000000000E0,-1.065263641E-3,2.501810827E-3
3.471211570E-1,-1.331579551E-4,-0.000000000E0,1.065263641E-3,1.073553756E-3
3.496448550E-1,9.321057005E-4,-0.000000000E0,-3.195791040E-3,3.328948994E-3
3.521685530E-1,-1.331579551E-4,1.065263641E-3,-1.065263641E-3,1.512383645E-3
3.546922500E-1,9.321057005E-4,2.130527282E-3,2.130527282E-3,3.153904570E-3
3.572158960E-1,-1.331579551E-4,-0.000000000E0,-2.130527282E-3,2.134684412E-3
3.597395940E-1,-1.198421582E-3,-1.065263641E-3,-2.130527282E-3,2.666485967E-3
3.622625630E-1,-1.331579551E-4,1.065263641E-3,0.000000000E0,1.073553756E-3
3.647862090E-1,9.321057005E-4,4.261054564E-3,1.065263641E-3,4.490010430E-3
3.673099070E-1,9.321057005E-4,1.065263641E-3,1.065263641E-3,1.771551379E-3
3.698335530E-1,9.321057005E-4,-1.065263641E-3,-1.065263641E-3,1.771551379E-3
3.723571980E-1,9.321057005E-4,-1.065263641E-3,-1.065263641E-3,1.771551379E-3
3.748808960E-1,-1.198421582E-3,-0.000000000E0,1.065263641E-3,1.603434100E-3
3.774045420E-1,9.321057005E-4,1.065263641E-3,2.130527282E-3,2.557880795E-3
3.799282400E-1,-2.263685223E-3,-1.065263641E-3,0.000000000E0,2.501810827E-3
3.824513130E-1,-1.331579551E-4,-1.065263641E-3,0.000000000E0,1.073553756E-3
3.849749590E-1,-1.331579551E-4,-1.065263641E-3,-1.065263641E-3,1.512383645E-3
3.874986050E-1,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
3.900222500E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
3.925458960E-1,-2.263685223E-3,1.065263641E-3,-2.130527282E-3,3.286062068E-3
3.950695940E-1,-2.263685223E-3,1.065263641E-3,2.130527282E-3,3.286062068E-3
3.975931880E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
4.001168860E-1,1.997369342E-3,1.065263641E-3,0.000000000E0,2.263685250E-3
4.026400630E-1,5.193160381E-3,1.065263641E-3,1.065263641E-3,5.407262523E-3
4.051637090E-1,-1.198421582E-3,-1.065263641E-3,0.000000000E0,1.603434100E-3
4.076873550E-1,-1.198421582E-3,-1.065263641E-3,-2.130527282E-3,2.666485967E-3
4.102110000E-1,9.321057005E-4,-0.000000000E0,0.000000000E0,9.321057005E-4
4.127345940E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
4.152582400E-1,-1.331579551E-4,3.195791040E-3,0.000000000E0,3.198563961E-3
4.177818860E-1,9.321057005E-4,-2.130527282E-3,-1.065263641E-3,2.557880795E-3
4.203055320E-1,9.321057005E-4,-2.130527282E-3,1.065263641E-3,2.557880795E-3
4.228288130E-1,9.321057005E-4,1.065263641E-3,0.000000000E0,1.415488489E-3
4.253524590E-1,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
4.278761050E-1,1.997369342E-3,2.130527282E-3,2.130527282E-3,3.614938075E-3
4.303997500E-1,-1.198421582E-3,-0.000000000E0,-1.065263641E-3,1.603434100E-3
4.329233440E-1,9.321057005E-4,-1.065263641E-3,-2.130527282E-3,2.557880795E-3
4.354469380E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
4.379705840E-1,-1.331579551E-4,-0.000000000E0,-1.065263641E-3,1.073553756E-3
4.404942300E-1,9.321057005E-4,-1.065263641E-3,-2.130527282E-3,2.557880795E-3
4.430175630E-1,9.321057005E-4,-1.065263641E-3,-1.065263641E-3,1.771551379E-3
4.455411570E-1,1.997369342E-3,-2.130527282E-3,0.000000000E0,2.920381959E-3
4.480648030E-1,-1.331579551E-4,-0.000000000E0,-1.065263641E-3,1.073553756E-3
4.505884480E-1,1.997369342E-3,2.130527282E-3,-1.065263641E-3,3.108603772E-3
4.531120420E-1,9.321057005E-4,-1.065263641E-3,1.065263641E-3,1.771551379E-3
4.556356880E-1,-1.198421582E-3,-1.065263641E-3,-1.065263641E-3,1.925042217E-3
4.581592820E-1,9.321057005E-4,1.065263641E-3,-1.065263641E-3,1.771551379E-3
4.606829280E-1,-1.331579551E-4,-1.065263641E-3,-2.130527282E-3,2.385720890E-3
4.632063130E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
4.657299070E-1,-1.331579551E-4,-0.000000000E0,2.130527282E-3,2.134684412E-3
4.682535530E-1,-1.331579551E-4,1.065263641E-3,2.130527282E-3,2.385720890E-3
4.707771460E-1,-1.331579551E-4,3.195791040E-3,0.000000000E0,3.198563961E-3
4.733007920E-1,-1.331579551E-4,-0.000000000E0,1.065263641E-3,1.073553756E-3
4.758243860E-1,1.997369342E-3,1.065263641E-3,0.000000000E0,2.263685250E-3
4.783480320E-1,-2.263685223E-3,1.065263641E-3,0.000000000E0,2.501810827E-3
4.808716250E-1,-1.331579551E-4,-1.065263641E-3,1.065263641E-3,1.512383645E-3
4.833950630E-1,9.321057005E-4,-3.195791040E-3,0.000000000E0,3.328948994E-3
4.859186570E-1,-1.331579551E-4,-0.000000000E0,-1.065263641E-3,1.073553756E-3
4.884423030E-1,-1.198421582E-3,-2.130527282E-3,0.000000000E0,2.444455111E-3
4.909658960E-1,-1.331579551E-4,-1.065263641E-3,1.065263641E-3,1.512383645E-3
4.934894900E-1,-2.263685223E-3,2.130527282E-3,2.130527282E-3,3.768628900E-3
4.959713130E-1,-1.331579551E-4,1.065263641E-3,0.000000000E0,1.073553756E-3
4.984931880E-1,9.321057005E-4,-0.000000000E0,-1.065263641E-3,1.415488489E-3
5.010151670E-1,-1.331579551E-4,1.065263641E-3,-1.065263641E-3,1.512383645E-3
5.035370940E-1,-1.331579551E-4,2.130527282E-3,-3.195791040E-3,3.843170294E-3
5.060590210E-1,-1.331579551E-4,4.261054564E-3,1.065263641E-3,4.394212519E-3
5.085809480E-1,-1.331579551E-4,2.130527282E-3,2.130527282E-3,3.015961545E-3
5.111028750E-1,-1.198421582E-3,-0.000000000E0,0.000000000E0,1.198421582E-3
5.136248030E-1,-2.263685223E-3,-1.065263641E-3,0.000000000E0,2.501810827E-3
5.161698030E-1,-1.198421582E-3,-1.065263641E-3,0.000000000E0,1.603434100E-3
5.187148030E-1,-1.198421582E-3,-1.065263641E-3,-2.130527282E-3,2.666485967E-3
5.212456880E-1,9.321057005E-4,1.065263641E-3,1.065263641E-3,1.771551379E-3
5.237689690E-1,1.997369342E-3,1.065263641E-3,0.000000000E0,2.263685250E-3
5.262921980E-1,-2.263685223E-3,-0.000000000E0,0.000000000E0,2.263685223E-3
5.288154800E-1,-1.198421582E-3,-0.000000000E0,-2.130527282E-3,2.444455111E-3
5.313387090E-1,3.062632866E-3,1.065263641E-3,-2.130527282E-3,3.879903761E-3
5.338619380E-1,1.997369342E-3,-0.000000000E0,0.000000000E0,1.997369342E-3
5.363879280E-1,9.321057005E-4,-2.130527282E-3,0.000000000E0,2.325503717E-3
5.389112610E-1,9.321057005E-4,-1.065263641E-3,2.130527282E-3,2.557880795E-3
5.414345940E-1,9.321057005E-4,1.065263641E-3,2.130527282E-3,2.557880795E-3
5.439579280E-1,-1.331579551E-4,-0.000000000E0,-2.130527282E-3,2.134684412E-3
5.464812090E-1,9.321057005E-4,-0.000000000E0,-2.130527282E-3,2.325503717E-3
5.490045420E-1,-1.198421582E-3,-1.065263641E-3,-1.065263641E-3,1.925042217E-3
5.515278750E-1,-1.331579551E-4,1.065263641E-3,2.130527282E-3,2.385720890E-3
5.540512090E-1,9.321057005E-4,1.065263641E-3,0.000000000E0,1.415488489E-3
5.565766780E-1,-1.331579551E-4,1.065263641E-3,-1.065263641E-3,1.512383645E-3
5.591000110E-1,-1.331579551E-4,-1.065263641E-3,-1.065263641E-3,1.512383645E-3
5.616233960E-1,-2.263685223E-3,-1.065263641E-3,-1.065263641E-3,2.719162378E-3
5.641467820E-1,9.321057005E-4,1.065263641E-3,1.065263641E-3,1.771551379E-3
5.666701670E-1,-1.198421582E-3,-0.000000000E0,0.000000000E0,1.198421582E-3
5.691935530E-1,-1.331579551E-4,1.065263641E-3,4.261054564E-3,4.394212519E-3
5.717168860E-1,9.321057005E-4,1.065263641E-3,3.195791040E-3,3.495237908E-3
5.742402710E-1,-1.331579551E-4,-0.000000000E0,1.065263641E-3,1.073553756E-3
5.766952710E-1,-1.331579551E-4,1.065263641E-3,0.000000000E0,1.073553756E-3
5.791502710E-1,1.997369342E-3,-1.065263641E-3,-2.130527282E-3,3.108603772E-3
5.816052710E-1,-1.331579551E-4,1.065263641E-3,-2.130527282E-3,2.385720890E-3
5.840602710E-1,-1.331579551E-4,3.195791040E-3,0.000000000E0,3.198563961E-3
5.865578750E-1,1.997369342E-3,1.065263641E-3,-1.065263641E-3,2.501810851E-3
5.890744900E-1,1.997369342E-3,-2.130527282E-3,2.130527282E-3,3.614938075E-3
5.915911050E-1,9.321057005E-4,-2.130527282E-3,3.195791040E-3,3.952347139E-3
5.941077190E-1,9.321057005E-4,-0.000000000E0,-1.065263641E-3,1.415488489E-3
5.966527190E-1,9.321057005E-4,1.065263641E-3,0.000000000E0,1.415488489E-3
5.991977190E-1,-1.331579551E-4,1.065263641E-3,-1.065263641E-3,1.512383645E-3
6.017427190E-1,-1.331579551E-4,-0.000000000E0,-1.065263641E-3,1.073553756E-3
6.042877190E-1,-3.328948980E-3,1.065263641E-3,-1.065263641E-3,3.653966962E-3
6.068327190E-1,-1.198421582E-3,1.065263641E-3,-1.065263641E-3,1.925042217E-3
6.093777190E-1,9.321057005E-4,1.065263641E-3,-1.065263641E-3,1.771551379E-3
6.119227190E-1,-1.331579551E-4,-0.000000000E0,1.065263641E-3,1.073553756E-3
6.144677190E-1,-1.331579551E-4,2.130527282E-3,1.065263641E-3,2.385720890E-3
6.170127190E-1,9.321057005E-4,2.130527282E-3,-1.065263641E-3,2.557880795E-3
6.195577190E-1,9.321057005E-4,2.130527282E-3,0.000000000E0,2.325503717E-3
6.221027190E-1,-1.331579551E-4,2.130527282E-3,-1.065263641E-3,2.385720890E-3
6.246477190E-1,-2.263685223E-3,-0.000000000E0,0.000000000E0,2.263685223E-3
6.271927190E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
6.297377190E-1,3.062632866E-3,1.065263641E-3,0.000000000E0,3.242608009E-3
6.322721460E-1,-2.263685223E-3,1.065263641E-3,-1.065263641E-3,2.719162378E-3
6.347936570E-1,-1.331579551E-4,1.065263641E-3,-1.065263641E-3,1.512383645E-3
6.372486570E-1,9.321057005E-4,-0.000000000E0,0.000000000E0,9.321057005E-4
6.397036570E-1,1.997369342E-3,-0.000000000E0,0.000000000E0,1.997369342E-3
6.421586570E-1,9.321057005E-4,1.065263641E-3,-1.065263641E-3,1.771551379E-3
6.446136570E-1,-1.331579551E-4,-0.000000000E0,-1.065263641E-3,1.073553756E-3
6.471185530E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
6.496336050E-1,1.997369342E-3,-0.000000000E0,-1.065263641E-3,2.263685250E-3
6.521487090E-1,9.321057005E-4,-0.000000000E0,-1.065263641E-3,1.415488489E-3
6.546638130E-1,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
6.572088130E-1,-1.331579551E-4,-0.000000000E0,0.000000000E0,1.331579551E-4
6.597538130E-1,-1.331579551E-4,2.130527282E-3,0.000000000E0,2.134684412E-3
6.622988130E-1,-1.331579551E-4,1.065263641E-3,-1.065263641E-3,1.512383645E-3
6.648438130E-1,9.321057005E-4,-0.000000000E0,-1.065263641E-3,1.415488489E-3
6.673888130E-1,-1.331579551E-4,1.065263641E-3,0.000000000E0,1.073553756E-3
6.699338130E-1,9.321057005E-4,-0.000000000E0,-1.065263641E-3,1.415488489E-3
6.724788130E-1,1.997369342E-3,-1.065263641E-3,-5.326318089E-3,5.787394517E-3
6.750238130E-1,1.997369342E-3,1.065263641E-3,-1.065263641E-3,2.501810851E-3
6.775688130E-1,1.997369342E-3,-0.000000000E0,1.065263641E-3,2.263685250E-3
6.801138130E-1,-1.198421582E-3,-0.000000000E0,-1.065263641E-3,1.603434100E-3
6.826588130E-1,-2.263685223E-3,-2.130527282E-3,1.065263641E-3,3.286062068E-3
6.852038130E-1,-1.331579551E-4,-1.065263641E-3,0.000000000E0,1.073553756E-3
6.877488130E-1,1.997369342E-3,-0.000000000E0,1.065263641E-3,2.263685250E-3
6.902938130E-1,-1.331579551E-4,-0.000000000E0,2.130527282E-3,2.134684412E-3
6.928313650E-1,-1.198421582E-3,2.130527282E-3,1.065263641E-3,2.666485967E-3
6.953516250E-1,-1.331579551E-4,2.130527282E-3,0.000000000E0,2.134684412E-3
6.978983960E-1,1.997369342E-3,2.130527282E-3,3.195791040E-3,4.329169800E-3
7.004193340E-1,-1.198421582E-3,1.065263641E-3,2.130527282E-3,2.666485967E-3
7.029402710E-1,-1.198421582E-3,-2.130527282E-3,-1.065263641E-3,2.666485967E-3
7.054611570E-1,-1.198421582E-3,1.065263641E-3,-1.065263641E-3,1.925042217E-3
7.079821460E-1,1.997369342E-3,-1.065263641E-3,0.000000000E0,2.263685250E-3
7.105030320E-1,9.321057005E-4,-0.000000000E0,1.065263641E-3,1.415488489E-3
7.130239690E-1,-1.331579551E-4,1.065263641E-3,1.065263641E-3,1.512383645E-3
