"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.009333500E-2,-1.198421582E-3,-7.989477599E-4,1.198421582E-3,1.873698508E-3
2.261833500E-2,-1.331579551E-4,-7.989477599E-4,1.198421582E-3,1.446465641E-3
2.514328300E-2,-2.263685223E-3,2.663159103E-4,1.198421582E-3,2.575152275E-3
2.766828300E-2,-2.263685223E-3,-7.989477599E-4,-1.997369342E-3,3.122830863E-3
3.019323100E-2,-1.331579551E-4,2.663159103E-4,1.331579551E-4,3.261690453E-4
3.271823100E-2,-1.331579551E-4,2.396843163E-3,1.331579551E-4,2.404229447E-3
3.524317900E-2,-1.331579551E-4,2.396843163E-3,1.331579551E-4,2.404229447E-3
3.775432400E-2,-1.198421582E-3,1.331579522E-3,-9.321057005E-4,2.019440355E-3
4.027890800E-2,-1.198421582E-3,2.663159103E-4,1.198421582E-3,1.715620220E-3
4.280354300E-2,-1.198421582E-3,2.663159103E-4,1.331579551E-4,1.234856061E-3
4.532817900E-2,9.321057005E-4,2.663159103E-4,-1.997369342E-3,2.220186814E-3
4.785281400E-2,-1.331579551E-4,-7.989477599E-4,-9.321057005E-4,1.234856105E-3
5.037739700E-2,-2.263685223E-3,3.462106921E-3,3.328948980E-3,5.309647487E-3
5.290203300E-2,-2.263685223E-3,2.663159103E-4,1.331579551E-4,2.283183302E-3
5.542666800E-2,-1.331579551E-4,-1.864211401E-3,2.263685223E-3,2.935521415E-3
5.794276200E-2,-1.331579551E-4,-1.864211401E-3,1.198421582E-3,2.220186811E-3
6.046718900E-2,-1.331579551E-4,-7.989477599E-4,-1.997369342E-3,2.155349821E-3
6.299156400E-2,-1.198421582E-3,2.663159103E-4,-1.997369342E-3,2.344487735E-3
6.551599100E-2,9.321057005E-4,1.331579522E-3,1.198421582E-3,2.019440355E-3
6.804041800E-2,9.321057005E-4,1.331579522E-3,1.198421582E-3,2.019440355E-3
7.056484500E-2,9.321057005E-4,1.331579522E-3,-1.997369342E-3,2.575152296E-3
7.308927200E-2,1.997369342E-3,-7.989477599E-4,-9.321057005E-4,2.344487758E-3
7.561364700E-2,-1.198421582E-3,-7.989477599E-4,-9.321057005E-4,1.715620251E-3
7.813125200E-2,-1.331579551E-4,2.663159103E-4,1.331579551E-4,3.261690453E-4
8.065547000E-2,-1.331579551E-4,2.396843163E-3,1.331579551E-4,2.404229447E-3
8.317968900E-2,-1.198421582E-3,2.663159103E-4,1.198421582E-3,1.715620220E-3
8.570396000E-2,-1.331579551E-4,2.663159103E-4,1.331579551E-4,3.261690453E-4
8.822817900E-2,9.321057005E-4,-7.989477599E-4,2.263685223E-3,2.575152296E-3
9.075244900E-2,9.321057005E-4,2.663159103E-4,3.328948980E-3,3.467224613E-3
9.327666800E-2,3.062632866E-3,-7.989477599E-4,-1.997369342E-3,3.742662406E-3
9.580093900E-2,1.997369342E-3,1.331579522E-3,1.198421582E-3,2.683058441E-3
9.825593900E-2,-1.331579551E-4,1.331579522E-3,1.331579551E-4,1.344829397E-3
1.007109390E-1,9.321057005E-4,2.663159103E-4,2.263685223E-3,2.462522282E-3
1.031622410E-1,-1.331579551E-4,1.331579522E-3,1.198421582E-3,1.796398996E-3
1.056814600E-1,-1.198421582E-3,-7.989477599E-4,2.263685223E-3,2.683058441E-3
1.082006790E-1,-2.263685223E-3,-1.864211401E-3,-1.997369342E-3,3.548103609E-3
1.107198970E-1,-1.198421582E-3,-1.864211401E-3,-9.321057005E-4,2.404229496E-3
1.132391160E-1,9.321057005E-4,-7.989477599E-4,1.198421582E-3,1.715620251E-3
1.157583350E-1,-1.331579551E-4,2.663159103E-4,2.263685223E-3,2.283183302E-3
1.183033350E-1,1.997369342E-3,2.663159103E-4,1.331579551E-4,2.019440391E-3
1.208483350E-1,-1.331579551E-4,-7.989477599E-4,-9.321057005E-4,1.234856105E-3
1.233933350E-1,-1.331579551E-4,2.663159103E-4,1.198421582E-3,1.234856061E-3
1.259383350E-1,-1.331579551E-4,-1.864211401E-3,1.331579551E-4,1.873698543E-3
1.284833350E-1,-1.331579551E-4,1.331579522E-3,1.331579551E-4,1.344829397E-3
1.310283350E-1,-1.331579551E-4,2.663159103E-4,-9.321057005E-4,9.785071497E-4
1.335733350E-1,-1.331579551E-4,-7.989477599E-4,-1.997369342E-3,2.155349821E-3
1.361183350E-1,9.321057005E-4,-1.864211401E-3,1.198421582E-3,2.404229496E-3
1.386633350E-1,1.997369342E-3,-7.989477599E-4,2.263685223E-3,3.122830863E-3
1.412083350E-1,-1.198421582E-3,1.331579522E-3,-9.321057005E-4,2.019440355E-3
1.437419810E-1,-2.263685223E-3,2.663159103E-4,-9.321057005E-4,2.462522282E-3
1.462645330E-1,-1.198421582E-3,2.663159103E-4,1.331579551E-4,1.234856061E-3
1.487871370E-1,9.321057005E-4,2.663159103E-4,1.331579551E-4,9.785071497E-4
1.513096890E-1,9.321057005E-4,2.663159103E-4,1.331579551E-4,9.785071497E-4
1.538322410E-1,9.321057005E-4,2.663159103E-4,1.198421582E-3,1.541414768E-3
1.563547930E-1,9.321057005E-4,-1.864211401E-3,3.328948980E-3,3.927595511E-3
1.588097930E-1,-1.198421582E-3,-7.989477599E-4,2.263685223E-3,2.683058441E-3
1.612647930E-1,3.062632866E-3,2.663159103E-4,1.198421582E-3,3.299523985E-3
1.637252620E-1,1.997369342E-3,1.331579522E-3,1.331579551E-4,2.404229471E-3
1.662431270E-1,9.321057005E-4,2.663159103E-4,-9.321057005E-4,1.344829446E-3
1.687610430E-1,9.321057005E-4,-1.864211401E-3,-3.062632866E-3,3.704568161E-3
1.712788560E-1,-1.331579551E-4,2.663159103E-4,1.331579551E-4,3.261690453E-4
1.737967720E-1,-1.331579551E-4,-7.989477599E-4,1.331579551E-4,8.208407916E-4
