"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.783220400E-2,-1.331579522E-3,1.331579551E-4,1.198421582E-3,1.796398996E-3
3.035887100E-2,7.989477599E-4,1.198421582E-3,2.263685223E-3,2.683058441E-3
3.288553800E-2,-1.331579522E-3,1.331579551E-4,1.198421582E-3,1.796398996E-3
3.541220400E-2,7.989477599E-4,1.331579551E-4,-1.997369342E-3,2.155349821E-3
3.793887100E-2,1.864211401E-3,1.198421582E-3,1.331579551E-4,2.220186811E-3
4.046553800E-2,-3.462106921E-3,1.331579551E-4,1.331579551E-4,3.467224598E-3
4.299220400E-2,-1.331579522E-3,1.331579551E-4,-9.321057005E-4,1.630845211E-3
4.549147500E-2,1.864211401E-3,1.198421582E-3,-9.321057005E-4,2.404229496E-3
4.801746500E-2,1.864211401E-3,2.263685223E-3,1.331579551E-4,2.935521415E-3
5.054345400E-2,-2.663159103E-4,1.198421582E-3,1.331579551E-4,1.234856061E-3
5.306944400E-2,-2.663159103E-4,-9.321057005E-4,-9.321057005E-4,1.344829446E-3
5.559543400E-2,-1.331579522E-3,-9.321057005E-4,-9.321057005E-4,1.873698508E-3
5.812137100E-2,-2.663159103E-4,1.331579551E-4,1.198421582E-3,1.234856061E-3
6.064736100E-2,-2.663159103E-4,1.331579551E-4,1.331579551E-4,3.261690453E-4
6.317335000E-2,7.989477599E-4,-9.321057005E-4,2.263685223E-3,2.575152296E-3
6.562835000E-2,-2.663159103E-4,1.198421582E-3,1.198421582E-3,1.715620220E-3
6.808335000E-2,7.989477599E-4,-9.321057005E-4,-1.997369342E-3,2.344487758E-3
7.053835000E-2,7.989477599E-4,-1.997369342E-3,1.331579551E-4,2.155349821E-3
7.300387100E-2,7.989477599E-4,-1.997369342E-3,1.331579551E-4,2.155349821E-3
7.552355900E-2,-2.663159103E-4,-1.997369342E-3,1.198421582E-3,2.344487735E-3
7.804319400E-2,1.864211401E-3,1.198421582E-3,1.331579551E-4,2.220186811E-3
8.056282900E-2,1.864211401E-3,3.328948980E-3,1.198421582E-3,3.999174883E-3
8.308246500E-2,-2.396843163E-3,-9.321057005E-4,1.331579551E-4,2.575152273E-3
8.562746500E-2,7.989477599E-4,1.198421582E-3,-1.997369342E-3,2.462522304E-3
8.815366300E-2,-2.663159103E-4,1.331579551E-4,-9.321057005E-4,9.785071497E-4
9.067407900E-2,-1.331579522E-3,-9.321057005E-4,3.328948980E-3,3.704568311E-3
9.319449600E-2,7.989477599E-4,1.198421582E-3,2.263685223E-3,2.683058441E-3
9.571491300E-2,7.989477599E-4,1.331579551E-4,1.331579551E-4,8.208407916E-4
9.823532900E-2,7.989477599E-4,1.331579551E-4,1.331579551E-4,8.208407916E-4
1.007557980E-1,1.864211401E-3,1.331579551E-4,1.331579551E-4,1.873698543E-3
1.032762150E-1,-2.663159103E-4,1.331579551E-4,1.198421582E-3,1.234856061E-3
1.058212150E-1,-2.663159103E-4,1.331579551E-4,1.331579551E-4,3.261690453E-4
1.083662150E-1,7.989477599E-4,1.198421582E-3,-9.321057005E-4,1.715620251E-3
1.109112150E-1,1.864211401E-3,-9.321057005E-4,-1.997369342E-3,2.886795710E-3
1.134562150E-1,1.864211401E-3,3.328948980E-3,1.331579551E-4,3.817710898E-3
1.160012150E-1,7.989477599E-4,2.263685223E-3,-9.321057005E-4,2.575152296E-3
1.185462150E-1,-2.396843163E-3,-9.321057005E-4,-1.997369342E-3,3.256249756E-3
1.210912150E-1,1.864211401E-3,1.331579551E-4,1.331579551E-4,1.873698543E-3
1.236362150E-1,2.929474926E-3,1.198421582E-3,2.263685223E-3,3.891311914E-3
1.261812150E-1,-1.331579522E-3,1.331579551E-4,2.263685223E-3,2.629658885E-3
1.287262150E-1,-2.663159103E-4,1.331579551E-4,1.331579551E-4,3.261690453E-4
1.312712150E-1,-2.663159103E-4,2.263685223E-3,1.331579551E-4,2.283183302E-3
1.338179340E-1,-2.663159103E-4,1.198421582E-3,-3.062632866E-3,3.299523985E-3
1.363419440E-1,7.989477599E-4,2.263685223E-3,-9.321057005E-4,2.575152296E-3
1.388659540E-1,7.989477599E-4,-9.321057005E-4,1.331579551E-4,1.234856105E-3
1.413900170E-1,1.864211401E-3,1.198421582E-3,2.263685223E-3,3.167928222E-3
1.439140270E-1,7.989477599E-4,2.263685223E-3,1.331579551E-4,2.404229471E-3
1.464343400E-1,1.864211401E-3,-9.321057005E-4,1.331579551E-4,2.088500952E-3
1.489582980E-1,7.989477599E-4,1.331579551E-4,1.198421582E-3,1.446465641E-3
1.514822040E-1,-2.663159103E-4,-1.997369342E-3,1.331579551E-4,2.019440391E-3
1.540061630E-1,-2.663159103E-4,1.331579551E-4,1.331579551E-4,3.261690453E-4
1.565301210E-1,-2.663159103E-4,1.198421582E-3,1.198421582E-3,1.715620220E-3
1.590540270E-1,-1.331579522E-3,1.331579551E-4,4.394212738E-3,4.593467171E-3
1.615779340E-1,3.994738683E-3,-9.321057005E-4,2.263685223E-3,4.685192522E-3
1.641018400E-1,-1.331579522E-3,1.331579551E-4,1.331579551E-4,1.344829397E-3
1.666228820E-1,-1.331579522E-3,-3.062632866E-3,1.198421582E-3,3.548103491E-3
1.691467360E-1,7.989477599E-4,1.331579551E-4,1.198421582E-3,1.446465641E-3
1.716705900E-1,-2.663159103E-4,-9.321057005E-4,1.198421582E-3,1.541414768E-3
1.741944960E-1,-1.331579522E-3,-9.321057005E-4,-9.321057005E-4,1.873698508E-3
1.767183500E-1,-1.331579522E-3,2.263685223E-3,-9.321057005E-4,2.786789524E-3
1.792422040E-1,-2.396843163E-3,1.331579551E-4,1.198421582E-3,2.683058419E-3
1.817660590E-1,-2.663159103E-4,-9.321057005E-4,1.198421582E-3,1.541414768E-3
1.842899130E-1,7.989477599E-4,1.331579551E-4,-9.321057005E-4,1.234856105E-3
1.868113710E-1,-1.331579522E-3,-9.321057005E-4,1.198421582E-3,2.019440355E-3
1.893351730E-1,-1.331579522E-3,-3.062632866E-3,-9.321057005E-4,3.467224414E-3
1.918589750E-1,-2.663159103E-4,-1.997369342E-3,-3.062632866E-3,3.666078085E-3
1.943827770E-1,-2.663159103E-4,1.198421582E-3,1.331579551E-4,1.234856061E-3
1.969065790E-1,-1.331579522E-3,1.198421582E-3,1.198421582E-3,2.155349763E-3
1.994303820E-1,7.989477599E-4,-9.321057005E-4,-9.321057005E-4,1.541414804E-3
2.019541840E-1,-1.331579522E-3,1.198421582E-3,1.331579551E-4,1.796398996E-3
2.044780380E-1,-1.331579522E-3,1.331579551E-4,1.198421582E-3,1.796398996E-3
2.069998610E-1,-1.331579522E-3,1.331579551E-4,1.331579551E-4,1.344829397E-3
2.095236110E-1,-2.396843163E-3,1.331579551E-4,1.331579551E-4,2.404229447E-3
2.120473610E-1,-2.396843163E-3,1.198421582E-3,-1.997369342E-3,3.342238131E-3
2.145711110E-1,-1.331579522E-3,1.198421582E-3,1.198421582E-3,2.155349763E-3
2.170949130E-1,-2.663159103E-4,1.331579551E-4,2.263685223E-3,2.283183302E-3
2.196186110E-1,-1.331579522E-3,1.331579551E-4,2.263685223E-3,2.629658885E-3
2.221423610E-1,7.989477599E-4,1.331579551E-4,1.331579551E-4,8.208407916E-4
2.246661630E-1,-1.331579522E-3,-9.321057005E-4,-9.321057005E-4,1.873698508E-3
2.271883500E-1,-1.331579522E-3,1.331579551E-4,1.198421582E-3,1.796398996E-3
2.297121000E-1,1.864211401E-3,-1.997369342E-3,1.331579551E-4,2.735415777E-3
2.322358500E-1,2.929474926E-3,-9.321057005E-4,1.331579551E-4,3.077072540E-3
2.347595480E-1,-2.663159103E-4,1.331579551E-4,-9.321057005E-4,9.785071497E-4
2.372832460E-1,-1.331579522E-3,1.331579551E-4,-3.062632866E-3,3.342238043E-3
2.398069440E-1,-2.396843163E-3,-1.997369342E-3,-3.062632866E-3,4.371963118E-3
2.423306940E-1,-2.396843163E-3,-1.997369342E-3,-3.062632866E-3,4.371963118E-3
2.448543920E-1,-2.663159103E-4,3.328948980E-3,-9.321057005E-4,3.467224613E-3
2.473768920E-1,7.989477599E-4,1.331579551E-4,-9.321057005E-4,1.234856105E-3
2.499005900E-1,2.929474926E-3,4.394212738E-3,1.198421582E-3,5.415454109E-3
2.524242360E-1,1.864211401E-3,2.263685223E-3,1.331579551E-4,2.935521415E-3
2.549479340E-1,7.989477599E-4,-1.997369342E-3,1.198421582E-3,2.462522304E-3
2.574716320E-1,-1.331579522E-3,-9.321057005E-4,1.198421582E-3,2.019440355E-3
2.599952770E-1,7.989477599E-4,1.198421582E-3,1.198421582E-3,1.873698508E-3
2.625189750E-1,-1.331579522E-3,1.331579551E-4,-1.997369342E-3,2.404229471E-3
2.650426730E-1,-2.663159103E-4,1.198421582E-3,-1.997369342E-3,2.344487735E-3
2.675653820E-1,-2.663159103E-4,1.331579551E-4,1.198421582E-3,1.234856061E-3
2.700890270E-1,-2.663159103E-4,1.198421582E-3,1.331579551E-4,1.234856061E-3
2.726126730E-1,-1.331579522E-3,1.331579551E-4,-1.997369342E-3,2.404229471E-3
2.751363710E-1,-2.663159103E-4,-9.321057005E-4,1.198421582E-3,1.541414768E-3
2.776600170E-1,-2.663159103E-4,-9.321057005E-4,1.198421582E-3,1.541414768E-3
2.801836630E-1,7.989477599E-4,-1.997369342E-3,1.331579551E-4,2.155349821E-3
2.827073610E-1,-2.663159103E-4,-1.997369342E-3,1.331579551E-4,2.019440391E-3
2.852309540E-1,-2.663159103E-4,-9.321057005E-4,1.331579551E-4,9.785071497E-4
2.877146000E-1,7.989477599E-4,1.331579551E-4,1.331579551E-4,8.208407916E-4
2.902373090E-1,1.864211401E-3,1.331579551E-4,2.263685223E-3,2.935521415E-3
2.927599650E-1,1.864211401E-3,-9.321057005E-4,3.328948980E-3,3.927595511E-3
2.952826210E-1,7.989477599E-4,1.331579551E-4,-9.321057005E-4,1.234856105E-3
2.978052770E-1,-1.331579522E-3,1.331579551E-4,1.198421582E-3,1.796398996E-3
3.003279340E-1,-1.331579522E-3,1.198421582E-3,2.263685223E-3,2.886795646E-3
3.028505900E-1,-2.396843163E-3,-3.062632866E-3,-9.321057005E-4,3.999174697E-3
3.053732460E-1,-3.462106921E-3,-5.193160381E-3,3.328948980E-3,7.073683651E-3
3.079031420E-1,-1.331579522E-3,1.331579551E-4,2.263685223E-3,2.629658885E-3
3.104260070E-1,-2.663159103E-4,1.331579551E-4,1.331579551E-4,3.261690453E-4
3.129488190E-1,7.989477599E-4,2.263685223E-3,1.198421582E-3,2.683058441E-3
3.154716840E-1,7.989477599E-4,1.198421582E-3,1.198421582E-3,1.873698508E-3
3.179944960E-1,7.989477599E-4,1.198421582E-3,-9.321057005E-4,1.715620251E-3
3.205173610E-1,-2.663159103E-4,1.331579551E-4,1.331579551E-4,3.261690453E-4
3.230401730E-1,-1.331579522E-3,1.198421582E-3,-4.127896391E-3,4.499871879E-3
3.255851730E-1,1.864211401E-3,1.198421582E-3,1.331579551E-4,2.220186811E-3
3.281285590E-1,1.864211401E-3,1.331579551E-4,2.263685223E-3,2.935521415E-3
3.306525690E-1,-1.331579522E-3,-1.997369342E-3,1.331579551E-4,2.404229471E-3
3.331766320E-1,-1.331579522E-3,-9.321057005E-4,-9.321057005E-4,1.873698508E-3
3.357006420E-1,-2.663159103E-4,-3.062632866E-3,1.331579551E-4,3.077072518E-3
