"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.452651300E-2,1.331579551E-4,-2.663159103E-4,0.000000000E0,2.977502394E-4
1.705146100E-2,3.328948980E-3,7.989477599E-4,-2.130527282E-3,4.032290334E-3
1.957640900E-2,3.328948980E-3,2.929474926E-3,0.000000000E0,4.434379850E-3
2.210135700E-2,2.263685223E-3,3.994738683E-3,0.000000000E0,4.591536555E-3
2.462630500E-2,1.331579551E-4,1.864211401E-3,-1.065263641E-3,2.151232627E-3
2.715130500E-2,1.198421582E-3,-2.663159103E-4,-3.195791040E-3,3.423480513E-3
2.966239900E-2,-9.321057005E-4,-2.663159103E-4,-4.261054564E-3,4.369934919E-3
3.218698200E-2,-3.062632866E-3,-2.663159103E-4,-1.065263641E-3,3.253525912E-3
3.471156500E-2,-4.127896391E-3,-2.396843163E-3,1.065263641E-3,4.890723095E-3
3.723620100E-2,1.331579551E-4,-2.396843163E-3,0.000000000E0,2.400539146E-3
3.976078400E-2,1.198421582E-3,7.989477599E-4,1.065263641E-3,1.791457070E-3
4.228541900E-2,2.263685223E-3,-2.663159103E-4,0.000000000E0,2.279297030E-3
4.481000300E-2,3.328948980E-3,-2.396843163E-3,-1.065263641E-3,4.238106309E-3
4.733463800E-2,2.263685223E-3,-2.663159103E-4,-1.065263641E-3,2.515945464E-3
4.985078400E-2,-1.997369342E-3,2.929474926E-3,-1.065263641E-3,3.702174260E-3
5.237515900E-2,-1.997369342E-3,1.864211401E-3,0.000000000E0,2.732172841E-3
5.489958600E-2,-1.997369342E-3,-1.331579522E-3,3.195791040E-3,3.996957428E-3
5.742396100E-2,-1.997369342E-3,1.864211401E-3,0.000000000E0,2.732172841E-3
5.994838800E-2,-9.321057005E-4,7.989477599E-4,0.000000000E0,1.227655717E-3
6.247271100E-2,1.198421582E-3,-2.663159103E-4,0.000000000E0,1.227655673E-3
6.499713800E-2,3.328948980E-3,-2.663159103E-4,1.065263641E-3,3.505369039E-3
