"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.527189000E-3,-2.663159103E-4,-1.597895520E-3,0.000000000E0,1.619936498E-3
1.105067900E-2,7.989477599E-4,-5.326318205E-4,0.000000000E0,9.602156942E-4
1.357411700E-2,7.989477599E-4,1.597895520E-3,3.195791040E-3,3.661238586E-3
1.609755400E-2,-2.396843163E-3,-1.597895520E-3,2.130527282E-3,3.582914141E-3
1.862104400E-2,7.989477599E-4,-5.326318205E-4,-1.997369342E-3,2.216190079E-3
2.114448100E-2,-2.663159103E-4,-5.326318205E-4,-3.062632866E-3,3.119990528E-3
2.366797100E-2,-1.331579522E-3,5.326318205E-4,1.065263641E-3,1.786501415E-3
2.618838700E-2,7.989477599E-4,1.597895520E-3,0.000000000E0,1.786501502E-3
2.871177300E-2,-2.663159103E-4,-5.326318205E-4,1.065263641E-3,1.220412818E-3
3.123515800E-2,7.989477599E-4,-2.663159044E-3,-1.997369342E-3,3.423480379E-3
3.375849200E-2,-2.663159103E-4,-2.663159044E-3,0.000000000E0,2.676441716E-3
3.628187700E-2,1.864211401E-3,-5.326318205E-4,-9.321057005E-4,2.151232633E-3
3.880526200E-2,2.929474926E-3,-1.597895520E-3,1.065263641E-3,3.502838857E-3
4.132864800E-2,1.864211401E-3,1.597895520E-3,1.065263641E-3,2.676441829E-3
4.385203300E-2,-2.396843163E-3,1.597895520E-3,0.000000000E0,2.880647018E-3
4.637557500E-2,-1.331579522E-3,-2.663159044E-3,-9.321057005E-4,3.119990570E-3
4.889896000E-2,7.989477599E-4,5.326318205E-4,-1.997369342E-3,2.216190079E-3
5.142234600E-2,7.989477599E-4,-1.597895520E-3,0.000000000E0,1.786501502E-3
5.394573100E-2,-1.331579522E-3,-1.597895520E-3,0.000000000E0,2.079993778E-3
5.646911700E-2,-1.331579522E-3,-1.597895520E-3,0.000000000E0,2.079993778E-3
5.899250200E-2,-1.331579522E-3,-2.663159044E-3,0.000000000E0,2.977502329E-3
6.151588700E-2,1.864211401E-3,-5.326318205E-4,1.065263641E-3,2.212186120E-3
6.403927300E-2,2.929474926E-3,1.597895520E-3,-9.321057005E-4,3.464666574E-3
6.656276200E-2,1.864211401E-3,-5.326318205E-4,-9.321057005E-4,2.151232633E-3
6.908614800E-2,2.929474926E-3,5.326318205E-4,0.000000000E0,2.977502308E-3
7.160953300E-2,2.929474926E-3,-5.326318205E-4,1.065263641E-3,3.162326141E-3
7.413291900E-2,-2.663159103E-4,-2.663159044E-3,1.065263641E-3,2.880646956E-3
7.665630400E-2,7.989477599E-4,-1.597895520E-3,-9.321057005E-4,2.015045571E-3
7.917968900E-2,1.864211401E-3,5.326318205E-4,0.000000000E0,1.938809120E-3
8.170307500E-2,7.989477599E-4,-1.597895520E-3,-1.997369342E-3,2.679752209E-3
8.422646000E-2,-2.663159103E-4,5.326318205E-4,-9.321057005E-4,1.106093060E-3
8.674995000E-2,7.989477599E-4,-5.326318205E-4,0.000000000E0,9.602156942E-4
8.927333500E-2,-1.331579522E-3,-1.597895520E-3,2.130527282E-3,2.977502412E-3
9.179672100E-2,-2.396843163E-3,-1.597895520E-3,-9.321057005E-4,3.027696860E-3
9.432010600E-2,-2.396843163E-3,-2.663159044E-3,-1.997369342E-3,4.102043092E-3
9.684349200E-2,-2.663159103E-4,-2.663159044E-3,1.065263641E-3,2.880646956E-3
9.936687700E-2,-2.663159103E-4,-5.326318205E-4,0.000000000E0,5.955004788E-4
1.018902620E-1,-3.462106921E-3,-1.597895520E-3,-9.321057005E-4,3.925337624E-3
1.044136480E-1,-2.396843163E-3,-5.326318205E-4,-9.321057005E-4,2.626285370E-3
1.069371370E-1,5.060002208E-3,1.597895520E-3,-1.997369342E-3,5.669777484E-3
1.094605230E-1,-2.663159103E-4,1.597895520E-3,0.000000000E0,1.619936498E-3
1.119839080E-1,7.989477599E-4,5.326318205E-4,1.065263641E-3,1.434155084E-3
1.145072940E-1,-1.331579522E-3,1.597895520E-3,2.130527282E-3,2.977502412E-3
1.170306790E-1,3.994738683E-3,5.326318205E-4,0.000000000E0,4.030091041E-3
1.195540640E-1,-3.462106921E-3,-3.728422802E-3,0.000000000E0,5.087958424E-3
1.220774500E-1,2.929474926E-3,1.597895520E-3,0.000000000E0,3.336928742E-3
1.246008870E-1,7.989477599E-4,-1.597895520E-3,1.065263641E-3,2.079993808E-3
1.271242730E-1,-2.663159103E-4,4.793686327E-3,-9.321057005E-4,4.890723239E-3
1.296476580E-1,1.864211401E-3,-3.728422802E-3,-9.321057005E-4,4.271444928E-3
1.321710440E-1,-3.462106921E-3,2.663159044E-3,0.000000000E0,4.367905726E-3
1.346944290E-1,1.864211401E-3,-1.597895520E-3,-9.321057005E-4,2.626285452E-3
1.372178140E-1,-1.331579522E-3,4.793686327E-3,-9.321057005E-4,5.061754010E-3
1.397412000E-1,5.060002208E-3,-2.663159044E-3,-9.321057005E-4,5.793518747E-3
1.422645850E-1,-4.527370445E-3,2.663159044E-3,3.195791040E-3,6.148380243E-3
1.447880230E-1,1.864211401E-3,-4.793686327E-3,0.000000000E0,5.143414503E-3
1.473114600E-1,-3.462106921E-3,-1.597895520E-3,-9.321057005E-4,3.925337624E-3
1.498348460E-1,3.994738683E-3,-1.597895520E-3,-9.321057005E-4,4.402275352E-3
1.523582310E-1,-4.527370445E-3,1.597895520E-3,-9.321057005E-4,4.890723288E-3
1.548816170E-1,2.929474926E-3,-2.663159044E-3,-9.321057005E-4,4.067316126E-3
1.574050020E-1,-3.462106921E-3,3.728422802E-3,0.000000000E0,5.087958424E-3
1.599283870E-1,5.060002208E-3,-5.326318205E-4,2.130527282E-3,5.516018990E-3
1.624518250E-1,-3.462106921E-3,-5.326318205E-4,1.065263641E-3,3.661238535E-3
1.649752100E-1,3.994738683E-3,-2.663159044E-3,0.000000000E0,4.801078342E-3
1.674986480E-1,-2.396843163E-3,-5.326318205E-4,-1.997369342E-3,3.165128448E-3
1.700220330E-1,1.864211401E-3,5.326318205E-4,0.000000000E0,1.938809120E-3
1.725454190E-1,-3.462106921E-3,-5.326318205E-4,1.065263641E-3,3.661238535E-3
1.750688040E-1,-1.331579522E-3,2.663159044E-3,0.000000000E0,2.977502329E-3
1.775921890E-1,-4.527370445E-3,-2.663159044E-3,-9.321057005E-4,5.334634035E-3
1.801155750E-1,7.989477599E-4,5.326318205E-4,3.195791040E-3,3.336928910E-3
1.826390120E-1,-2.663159103E-4,-2.663159044E-3,2.130527282E-3,3.420889761E-3
1.851623980E-1,7.989477599E-4,2.663159044E-3,2.130527282E-3,3.502838866E-3
1.876858350E-1,-1.331579522E-3,-3.728422802E-3,1.065263641E-3,4.099881369E-3
1.902092210E-1,-3.462106921E-3,3.728422802E-3,2.130527282E-3,5.516019164E-3
1.927326060E-1,7.989477599E-4,-2.663159044E-3,0.000000000E0,2.780419684E-3
1.952559920E-1,-2.396843163E-3,2.663159044E-3,0.000000000E0,3.582914072E-3
1.977793770E-1,7.989477599E-4,-1.597895520E-3,2.130527282E-3,2.780419773E-3
2.003028140E-1,-3.462106921E-3,4.793686327E-3,2.130527282E-3,6.285281173E-3
2.028262000E-1,1.864211401E-3,-2.663159044E-3,0.000000000E0,3.250799939E-3
2.053495850E-1,-1.331579522E-3,2.663159044E-3,1.065263641E-3,3.162326160E-3
2.078730230E-1,1.864211401E-3,-3.728422802E-3,-9.321057005E-4,4.271444928E-3
2.103964080E-1,-2.396843163E-3,2.663159044E-3,1.065263641E-3,3.737921865E-3
2.129197940E-1,5.060002208E-3,-2.663159044E-3,-9.321057005E-4,5.793518747E-3
2.154431790E-1,-3.462106921E-3,1.597895520E-3,1.065263641E-3,3.959070730E-3
2.179665640E-1,1.864211401E-3,-2.663159044E-3,0.000000000E0,3.250799939E-3
2.204900020E-1,-4.527370445E-3,2.663159044E-3,-9.321057005E-4,5.334634035E-3
2.230133870E-1,2.929474926E-3,-1.597895520E-3,-1.997369342E-3,3.889033006E-3
2.255367730E-1,-3.462106921E-3,1.597895520E-3,2.130527282E-3,4.367905782E-3
2.280602100E-1,6.125265732E-3,-1.597895520E-3,4.261054564E-3,7.630775608E-3
2.305835960E-1,-1.331579522E-3,-2.663159044E-3,-9.321057005E-4,3.119990570E-3
2.331069810E-1,5.060002208E-3,-5.326318205E-4,0.000000000E0,5.087958235E-3
2.356303670E-1,-3.462106921E-3,5.326318205E-4,-9.321057005E-4,3.624734752E-3
2.381537520E-1,7.989477599E-4,-1.597895520E-3,-9.321057005E-4,2.015045571E-3
2.406771890E-1,-2.396843163E-3,-5.326318205E-4,1.065263641E-3,2.676441748E-3
2.432005750E-1,3.994738683E-3,1.597895520E-3,4.261054564E-3,6.055393731E-3
2.457239600E-1,-2.396843163E-3,-5.326318205E-4,-9.321057005E-4,2.626285370E-3
2.482473980E-1,-2.663159103E-4,-5.326318205E-4,-1.997369342E-3,2.084251690E-3
2.507707830E-1,-1.331579522E-3,-1.597895520E-3,1.065263641E-3,2.336912652E-3
2.532941690E-1,7.989477599E-4,1.597895520E-3,2.130527282E-3,2.780419773E-3
2.558175540E-1,-2.663159103E-4,-1.597895520E-3,1.065263641E-3,1.938809140E-3
2.583409390E-1,-2.396843163E-3,1.597895520E-3,0.000000000E0,2.880647018E-3
2.608643770E-1,7.989477599E-4,-5.326318205E-4,0.000000000E0,9.602156942E-4
2.633877620E-1,1.864211401E-3,3.728422802E-3,0.000000000E0,4.168503417E-3
2.659111480E-1,1.864211401E-3,-2.663159044E-3,0.000000000E0,3.250799939E-3
2.684345850E-1,-1.331579522E-3,1.597895520E-3,-9.321057005E-4,2.279297074E-3
2.709579710E-1,2.929474926E-3,-2.663159044E-3,-9.321057005E-4,4.067316126E-3
2.734813560E-1,-1.331579522E-3,3.728422802E-3,1.065263641E-3,4.099881369E-3
2.760047420E-1,7.989477599E-4,-2.663159044E-3,2.130527282E-3,3.502838866E-3
2.785281270E-1,-5.592633970E-3,3.728422802E-3,-9.321057005E-4,6.785831736E-3
2.810515640E-1,2.929474926E-3,-2.663159044E-3,-1.997369342E-3,4.434379745E-3
2.835749500E-1,-3.462106921E-3,5.326318205E-4,0.000000000E0,3.502838990E-3
2.860983350E-1,2.929474926E-3,-2.663159044E-3,1.065263641E-3,4.099881225E-3
2.886217730E-1,-2.396843163E-3,5.326318205E-4,0.000000000E0,2.455311346E-3
2.911451580E-1,1.864211401E-3,-1.597895520E-3,1.065263641E-3,2.676441829E-3
2.936685440E-1,-4.527370445E-3,1.597895520E-3,0.000000000E0,4.801078342E-3
2.961919290E-1,2.929474926E-3,-2.663159044E-3,1.065263641E-3,4.099881225E-3
2.987153670E-1,-1.331579522E-3,-2.663159044E-3,-9.321057005E-4,3.119990570E-3
3.012387520E-1,5.060002208E-3,-5.326318205E-4,0.000000000E0,5.087958235E-3
3.037621370E-1,-2.396843163E-3,2.663159044E-3,2.130527282E-3,4.168503298E-3
3.062855230E-1,3.994738683E-3,-5.326318205E-4,2.130527282E-3,4.558594115E-3
3.088089600E-1,-2.396843163E-3,-2.663159044E-3,-9.321057005E-4,3.702174264E-3
3.113323460E-1,2.929474926E-3,5.326318205E-4,0.000000000E0,2.977502308E-3
