"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.832489900E-2,-6.657897611E-4,0.000000000E0,1.331579551E-4,6.789749973E-4
2.084844000E-2,1.464737463E-3,0.000000000E0,-1.997369342E-3,2.476881128E-3
2.337198200E-2,1.464737463E-3,1.065263641E-3,1.331579551E-4,1.816032351E-3
2.589552400E-2,3.994738800E-4,-2.130527282E-3,3.328948980E-3,3.972483756E-3
2.841906500E-2,-6.657897611E-4,0.000000000E0,1.331579551E-4,6.789749973E-4
3.094260700E-2,-1.731053460E-3,0.000000000E0,-3.062632866E-3,3.517991779E-3
3.346614900E-2,3.994738800E-4,-3.195791040E-3,-3.062632866E-3,4.444364952E-3
3.598672200E-2,3.994738800E-4,-3.195791040E-3,2.263685223E-3,3.936614096E-3
3.851015900E-2,3.994738800E-4,-2.130527282E-3,1.198421582E-3,2.476881137E-3
4.103364900E-2,-2.796316985E-3,1.065263641E-3,1.331579551E-4,2.995314065E-3
4.355713800E-2,1.464737463E-3,1.065263641E-3,1.331579551E-4,1.816032351E-3
4.608057600E-2,3.994738800E-4,0.000000000E0,-9.321057005E-4,1.014100793E-3
4.860406500E-2,-2.796316985E-3,-1.065263641E-3,1.331579551E-4,2.995314065E-3
5.112750300E-2,3.994738800E-4,1.065263641E-3,2.263685223E-3,2.533502870E-3
5.365099200E-2,1.464737463E-3,0.000000000E0,2.263685223E-3,2.696243057E-3
5.617458600E-2,1.464737463E-3,0.000000000E0,1.198421582E-3,1.892530085E-3
5.869802400E-2,3.994738800E-4,0.000000000E0,1.331579551E-4,4.210824406E-4
6.122151300E-2,1.464737463E-3,-3.195791040E-3,1.331579551E-4,3.517991934E-3
6.374500300E-2,2.530001104E-3,3.195791040E-3,-9.321057005E-4,4.181244670E-3
6.626844000E-2,-6.657897611E-4,0.000000000E0,-9.321057005E-4,1.145468045E-3
6.879193000E-2,3.994738800E-4,-2.130527282E-3,-1.997369342E-3,2.947576999E-3
7.131542000E-2,3.994738800E-4,-2.130527282E-3,1.331579551E-4,2.171740528E-3
