"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.739928000E-2,-1.331579522E-3,-8.388951421E-3,-2.130527282E-3,8.757097491E-3
2.992016600E-2,-1.331579522E-3,-8.388951421E-3,-1.065263641E-3,8.560513804E-3
3.244105100E-2,-2.396843163E-3,-5.193160381E-3,1.065263641E-3,5.817951402E-3
3.496198800E-2,-2.663159103E-4,-1.065263641E-3,1.065263641E-3,1.529868430E-3
3.748287400E-2,-2.663159103E-4,3.195791040E-3,-0.000000000E0,3.206868337E-3
4.000381100E-2,1.864211401E-3,5.326318089E-3,1.065263641E-3,5.742798547E-3
4.252469700E-2,3.994738683E-3,6.391582079E-3,-1.065263641E-3,7.612164295E-3
4.506969700E-2,2.929474926E-3,8.522109129E-3,-0.000000000E0,9.011557431E-3
4.761469700E-2,7.989477599E-4,1.065263618E-2,-0.000000000E0,1.068255471E-2
5.015969700E-2,1.864211401E-3,8.522109129E-3,-1.065263641E-3,8.788425045E-3
5.270469700E-2,1.864211401E-3,4.261054564E-3,-0.000000000E0,4.651007434E-3
5.524969700E-2,1.864211401E-3,2.130527282E-3,1.065263641E-3,3.024767309E-3
5.779469700E-2,-1.331579522E-3,-1.065263641E-3,2.130527282E-3,2.728926006E-3
6.033969700E-2,-3.462106921E-3,-1.065263641E-3,-0.000000000E0,3.622288083E-3
6.288469700E-2,-2.396843163E-3,-3.195791040E-3,-0.000000000E0,3.994738730E-3
6.542969700E-2,-2.663159103E-4,-7.323687430E-3,-0.000000000E0,7.328527938E-3
6.797381100E-2,-2.396843163E-3,-5.193160381E-3,-4.261054564E-3,7.132345890E-3
7.049974900E-2,-2.663159103E-4,-5.193160381E-3,1.065263641E-3,5.307977537E-3
7.302573800E-2,-1.331579522E-3,-6.258423906E-3,5.326318089E-3,8.325301087E-3
7.555167600E-2,-4.527370445E-3,-3.195791040E-3,-0.000000000E0,5.541675155E-3
7.807761300E-2,-1.331579522E-3,-2.130527282E-3,-0.000000000E0,2.512419257E-3
8.060355100E-2,-2.396843163E-3,-3.195791040E-3,-1.065263641E-3,4.134334788E-3
8.312954100E-2,-1.331579522E-3,1.065263641E-3,-0.000000000E0,1.705253837E-3
8.563599900E-2,1.864211401E-3,3.195791040E-3,-1.065263641E-3,3.850084563E-3
8.816146800E-2,7.989477599E-4,5.326318089E-3,-0.000000000E0,5.385905858E-3
9.068693600E-2,7.989477599E-4,3.195791040E-3,-2.130527282E-3,3.923078433E-3
9.321240500E-2,2.929474926E-3,3.195791040E-3,-0.000000000E0,4.335308952E-3
9.573787400E-2,7.989477599E-4,4.261054564E-3,1.065263641E-3,4.464268154E-3
9.826334300E-2,7.989477599E-4,2.130527282E-3,-0.000000000E0,2.275404145E-3
1.007888110E-1,1.864211401E-3,0.000000000E0,1.065263641E-3,2.147107536E-3
1.033142800E-1,-2.663159103E-4,0.000000000E0,2.130527282E-3,2.147107511E-3
1.057692800E-1,7.989477599E-4,0.000000000E0,1.065263641E-3,1.331579569E-3
1.082242800E-1,1.864211401E-3,-2.130527282E-3,1.065263641E-3,3.024767309E-3
1.106792800E-1,-1.331579522E-3,-3.195791040E-3,-0.000000000E0,3.462106930E-3
1.131887590E-1,-1.331579522E-3,-4.261054564E-3,1.065263641E-3,4.589605282E-3
1.157089160E-1,7.989477599E-4,-2.130527282E-3,1.065263641E-3,2.512419282E-3
1.182290720E-1,-2.663159103E-4,-4.261054564E-3,-0.000000000E0,4.269368825E-3
1.207492800E-1,-1.331579522E-3,-1.065263641E-3,-0.000000000E0,1.705253837E-3
1.232694880E-1,-1.331579522E-3,-2.130527282E-3,-1.065263641E-3,2.728926006E-3
1.258159990E-1,-1.331579522E-3,-1.065263641E-3,1.065263641E-3,2.010641011E-3
