"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.328604800E-2,7.989477599E-4,-0.000000000E0,-1.065263641E-3,1.331579569E-3
3.580672500E-2,-1.331579522E-3,2.130527282E-3,1.065263641E-3,2.728926006E-3
3.832735000E-2,-2.396843163E-3,-0.000000000E0,3.195791040E-3,3.994738730E-3
4.084802700E-2,-2.396843163E-3,-1.065263641E-3,1.065263641E-3,2.830976934E-3
4.336870400E-2,-2.396843163E-3,-0.000000000E0,-0.000000000E0,2.396843163E-3
4.588938100E-2,7.989477599E-4,1.065263641E-3,1.065263641E-3,1.705253873E-3
4.841000600E-2,1.864211401E-3,1.065263641E-3,-1.065263641E-3,2.396843215E-3
5.095500600E-2,-1.331579522E-3,1.065263641E-3,-1.065263641E-3,2.010641011E-3
5.350000600E-2,-2.663159103E-4,-2.130527282E-3,-0.000000000E0,2.147107511E-3
5.604500600E-2,2.929474926E-3,-0.000000000E0,-0.000000000E0,2.929474926E-3
5.859000600E-2,-2.663159103E-4,1.065263641E-3,1.065263641E-3,1.529868430E-3
6.113500600E-2,-2.663159103E-4,-1.065263641E-3,2.130527282E-3,2.396843192E-3
6.368000600E-2,2.929474926E-3,-1.065263641E-3,1.065263641E-3,3.294145806E-3
6.622500600E-2,7.989477599E-4,-0.000000000E0,-2.130527282E-3,2.275404145E-3
6.877000600E-2,7.989477599E-4,2.130527282E-3,-2.130527282E-3,3.117147819E-3
7.131500600E-2,7.989477599E-4,-2.130527282E-3,-1.065263641E-3,2.512419282E-3
7.386047500E-2,2.929474926E-3,-3.195791040E-3,-0.000000000E0,4.335308952E-3
7.638625600E-2,1.864211401E-3,-2.130527282E-3,2.130527282E-3,3.543102757E-3
7.891203700E-2,-2.663159103E-4,1.065263641E-3,1.065263641E-3,1.529868430E-3
8.143781800E-2,7.989477599E-4,-2.130527282E-3,-0.000000000E0,2.275404145E-3
8.396365200E-2,1.864211401E-3,-0.000000000E0,-0.000000000E0,1.864211401E-3
8.648943300E-2,-2.663159103E-4,1.065263641E-3,-0.000000000E0,1.098048628E-3
8.901521400E-2,7.989477599E-4,-1.065263641E-3,-0.000000000E0,1.331579569E-3
9.152276600E-2,7.989477599E-4,-3.195791040E-3,1.065263641E-3,3.462106948E-3
9.404807900E-2,1.864211401E-3,-2.130527282E-3,1.065263641E-3,3.024767309E-3
9.657344300E-2,-2.663159103E-4,-0.000000000E0,-1.065263641E-3,1.098048628E-3
9.909875600E-2,-1.331579522E-3,3.195791040E-3,-3.195791040E-3,4.711609572E-3
1.016241200E-1,-1.331579522E-3,1.065263641E-3,-0.000000000E0,1.705253837E-3
1.041494330E-1,-2.396843163E-3,-1.065263641E-3,1.065263641E-3,2.830976934E-3
1.066747980E-1,-2.663159103E-4,1.065263641E-3,1.065263641E-3,1.529868430E-3
1.092001100E-1,-1.331579522E-3,-2.130527282E-3,-2.130527282E-3,3.294145872E-3
