"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.278090100E-2,1.597895520E-3,1.518000662E-2,1.331579551E-4,1.526445552E-2
2.530725600E-2,1.597895520E-3,1.091895252E-2,2.263685223E-3,1.126503729E-2
2.783366200E-2,2.663159044E-3,2.396843163E-3,2.263685223E-3,4.238106185E-3
3.035996400E-2,1.597895520E-3,-1.864211401E-3,-9.321057005E-4,2.626285452E-3
3.288631800E-2,1.597895520E-3,-8.255792782E-3,1.331579551E-4,8.410060380E-3
3.541267200E-2,1.597895520E-3,-1.145158429E-2,1.198421582E-3,1.162446846E-2
3.793902600E-2,-1.597895520E-3,-1.145158429E-2,1.331579551E-4,1.156329468E-2
4.044142200E-2,-4.793686327E-3,-1.464737486E-2,-9.321057005E-4,1.544000777E-2
4.296720300E-2,-2.663159044E-3,-1.571263932E-2,-9.321057005E-4,1.596396791E-2
4.549293300E-2,-3.728422802E-3,-1.145158429E-2,1.198421582E-3,1.210273248E-2
4.801866200E-2,-1.597895520E-3,-9.321057238E-3,1.198421582E-3,9.532659252E-3
5.054449500E-2,-5.326318205E-4,-1.864211401E-3,-1.997369342E-3,2.783606490E-3
5.307022400E-2,1.597895520E-3,2.663159103E-4,-1.997369342E-3,2.571707321E-3
5.559595300E-2,5.326318205E-4,1.331579522E-3,1.198421582E-3,1.868960933E-3
5.812168300E-2,1.597895520E-3,5.592633970E-3,-9.321057005E-4,5.890640530E-3
6.057668300E-2,-5.326318205E-4,5.592633970E-3,-9.321057005E-4,5.694740768E-3
6.303168300E-2,-5.326318205E-4,1.198421605E-2,-9.321057005E-4,1.203220479E-2
6.548668300E-2,1.597895520E-3,9.853689000E-3,2.263685223E-3,1.023585501E-2
6.799631800E-2,-5.326318205E-4,8.788425475E-3,1.331579551E-4,8.805557906E-3
7.051678700E-2,-2.663159044E-3,6.657897960E-3,1.331579551E-4,7.172011739E-3
7.303720300E-2,-2.663159044E-3,2.396843163E-3,-9.321057005E-4,3.702174264E-3
7.555767200E-2,2.663159044E-3,2.663159103E-4,-9.321057005E-4,2.834106790E-3
7.807814100E-2,1.597895520E-3,-3.994738683E-3,-9.321057005E-4,4.402275352E-3
8.062314100E-2,-2.663159044E-3,-5.060002208E-3,1.331579551E-4,5.719595220E-3
8.316814100E-2,-5.326318205E-4,-5.060002208E-3,-9.321057005E-4,5.172633762E-3
8.571314100E-2,-5.326318205E-4,-6.125265732E-3,1.331579551E-4,6.149821785E-3
8.825814100E-2,-5.326318205E-4,-9.321057238E-3,1.331579551E-4,9.337212417E-3
9.080314100E-2,5.326318205E-4,-6.125265732E-3,1.331579551E-4,6.149821785E-3
9.334814100E-2,-1.597895520E-3,-3.994738683E-3,1.331579551E-4,4.304525326E-3
9.589314100E-2,5.326318205E-4,-3.994738683E-3,-1.997369342E-3,4.497901521E-3
9.843814100E-2,5.326318205E-4,1.331579522E-3,-9.321057005E-4,1.710444889E-3
1.008931410E-1,-5.326318205E-4,1.331579522E-3,-9.321057005E-4,1.710444889E-3
1.033481410E-1,-5.326318205E-4,3.462106921E-3,1.198421582E-3,3.702174398E-3
1.058559010E-1,1.597895520E-3,5.592633970E-3,1.198421582E-3,5.938605821E-3
1.083769950E-1,5.326318205E-4,6.657897960E-3,1.331579551E-4,6.680496460E-3
1.108980890E-1,-5.326318205E-4,4.527370445E-3,1.331579551E-4,4.560538438E-3
1.134191830E-1,5.326318205E-4,5.592633970E-3,1.331579551E-4,5.619517988E-3
